season,episode,scene,sentiment
1,1,1,0.5834852744920345
1,1,2,0.04195966146571374
1,1,3,0.44792039440548437
1,1,4,0.11075084912170288
1,1,6,0.19961414296732424
1,1,7,0.7953363114517387
1,1,10,-0.1240835201843625
1,1,11,-0.6716728843571658
1,1,15,-0.23702459514858187
1,1,16,0.10225781675057057
1,1,17,-2.905639404592255
1,1,18,0.09273274008083457
1,1,19,-0.49154834460259067
1,1,20,-0.2672749235835951
1,1,21,0.21046184831044112
1,1,22,0.2673839245489916
1,1,23,0.07588676987433754
1,1,24,-0.05596892002987269
1,1,25,-0.46013825139246495
1,1,26,0.2464343754734756
1,1,27,0.2592035089084604
1,1,29,-0.45161856789750815
1,1,30,0.04149722813913489
1,1,31,0.26751400325925734
1,1,32,-0.15823367135507563
1,1,33,2.4984819001552268
1,1,34,0.3263096009564238
1,1,35,0.2507299403006016
1,1,37,-0.40610531324666665
1,1,38,0.051263904604561025
1,1,39,1.9584752768136902
1,1,40,-0.26022415213110844
1,1,43,0.409569602023686
1,1,44,0.01820904283202991
1,1,45,-0.032513717610152724
1,1,46,-0.07173328091946891
1,1,47,-0.1564294949369222
1,1,48,-0.28877234718533484
1,1,50,-0.6340530111498777
1,1,51,0.15630260629895473
1,2,1,0.7561284960437281
1,2,2,0.005467430756318054
1,2,3,-0.7185041379230636
1,2,4,0.07230330104106715
1,2,5,1.2725380983227819
1,2,6,0.4810017139816135
1,2,7,0.20646402566732283
1,2,8,0.10266052639987125
1,2,11,-0.24715900670489926
1,2,12,0.31402761291622316
1,2,13,-0.9142564677249407
1,2,14,0.057814162363800076
1,2,15,0.08153964421453508
1,2,16,0.1269994385229597
1,2,17,-0.15365458624659725
1,2,18,0.19471097333492585
1,2,19,0.06253469097972325
1,2,20,-0.03231203125901447
1,2,21,0.29863812767340414
1,2,22,-0.010247504611529937
1,2,23,0.7211073137104558
1,2,24,-0.801806661276428
1,2,25,-0.08902015647472088
1,2,26,-0.04714587673910058
1,2,27,0.051908420302513206
1,2,28,0.7160801409911759
1,2,29,-1.4939211391060843
1,2,30,-0.6729338039122994
1,2,32,0.8252841565747743
1,2,34,0.1547777857285967
1,2,35,0.273046401349124
1,2,36,0.07382881063346969
1,2,38,0.041607149052593266
1,2,39,-0.09717470848637434
1,2,40,0.2188244876513845
1,2,41,0.10756054033806071
1,2,42,0.8476848060905794
1,2,44,-0.43305158830918283
1,2,45,1.1700441028920552
1,2,46,-0.23664369057949822
1,3,2,0.16338868311294624
1,3,3,0.10765580006924963
1,3,4,-0.828552263109145
1,3,5,0.254183982754371
1,3,8,0.42287172390340483
1,3,10,-0.05849751910164458
1,3,11,0.030771822062045
1,3,12,0.8303451644432156
1,3,13,-0.6274278518462623
1,3,14,-0.32534618992938674
1,3,15,-2.6853005287169096
1,3,16,0.7256973445442895
1,3,17,-0.36429822673104034
1,3,18,0.018561745682731945
1,3,19,-0.13031890938678775
1,3,20,0.31052987600449894
1,3,21,0.15963096493066506
1,3,22,-0.5161506052602587
1,3,23,-0.19912829224337306
1,3,24,-0.013932795886765187
1,3,25,-0.44905041548899255
1,3,26,-3.9676212829531514
1,3,27,-0.08746546308997662
1,3,28,0.34035349644659174
1,3,29,0.16419239239134795
1,3,30,0.24424033442135487
1,3,31,0.08944330175344095
1,3,32,0.15827445084366568
1,3,33,0.4964050891492731
1,3,34,0.3599142649801968
1,3,35,0.3729777160450821
1,3,36,0.37772648659254593
1,3,37,0.6871094005143763
1,3,38,0.19436241598274487
1,3,41,-0.29944311569457743
1,3,43,0.14176160873428784
1,3,44,-0.5636469842409578
1,3,45,1.9652182024908305
1,3,46,-0.0809935415782065
1,3,47,-0.3207407491339198
1,3,48,0.004213904583777261
1,4,1,-0.3052915813413108
1,4,2,-0.07440409659225922
1,4,3,-0.05030359492528501
1,4,5,0.24954508362166156
1,4,6,1.5303136209290353
1,4,7,-0.3786882036744288
1,4,8,0.8727247847049948
1,4,9,0.4240286199297449
1,4,10,0.49190532073828785
1,4,11,-0.7575474860603194
1,4,13,0.3941918140259298
1,4,15,0.9829670448568465
1,4,16,0.014369987323062577
1,4,19,0.49148352242842325
1,4,20,0.5615372043519014
1,4,21,1.207286202734988
1,4,22,-0.3302729548739025
1,4,23,0.7685093930137713
1,4,24,4.738720716780624
1,4,25,0.7500100343524334
1,4,26,0.01287014915928895
1,4,27,0.2800639644360256
1,4,28,0.17609497344992828
1,4,29,2.9359230170932245
1,4,30,0.22704902936430163
1,4,31,-0.5956041850956523
1,4,32,3.7119469353390455
1,4,33,1.228708806071058
1,4,35,1.15240406188854
1,4,36,-0.13805548132617299
1,4,39,0.29752183539846533
1,4,40,0.1472752406738728
1,4,41,0.03675467435221017
1,4,42,-0.30452389156479814
1,4,44,0.0
1,4,45,0.5611069350622977
1,4,46,2.0764609058350305
1,4,47,0.2985902021894624
1,4,48,0.19307095511250078
1,4,49,0.15042711784964352
1,4,50,0.16583450010152156
1,4,51,-1.1189646808735432
1,4,53,0.05305644132394579
1,4,54,0.2772729784755073
1,4,55,0.4891331078530463
1,4,56,0.2420547271770067
1,4,57,-0.8103292884650859
1,4,58,-0.1429163834880173
1,4,59,0.10705918359790055
1,5,1,0.5369836008893394
1,5,2,0.140777621041171
1,5,3,-0.06243487636023726
1,5,4,0.2208565930224781
1,5,5,0.2691592902849986
1,5,6,-0.027693424292010937
1,5,7,0.0
1,5,8,-0.27882208660132957
1,5,9,0.16035752874025258
1,5,10,-0.0733206934320291
1,5,11,-0.1579654528115567
1,5,12,0.6636935930437871
1,5,13,-0.7431562897064351
1,5,14,0.42727123343586026
1,5,15,0.248439436397344
1,5,16,0.0997106814891587
1,5,17,0.4485632992892106
1,5,18,3.506004099318125
1,5,19,-0.1693710375012503
1,5,20,-1.4111733478189215
1,5,22,-0.848302392791325
1,5,23,0.25078939180203225
1,5,24,-3.7348028477652107
1,5,25,-1.1125004596316703
1,5,26,0.0
1,5,27,0.20838247160953108
1,5,29,-0.44070419940326816
1,5,30,-1.016448233235612
1,5,31,-1.4320325302997399
1,5,32,0.0
1,5,34,-0.862321944764439
1,5,35,1.1650918523279272
1,5,36,-0.10335518780687143
1,5,38,-0.3418840850370785
1,5,39,-0.22242764322066963
1,5,40,-0.1255277938796222
1,5,42,0.013802603734307297
1,5,43,0.4189960685016698
1,5,44,0.1768401624468503
1,5,45,-0.5861321531521649
1,5,46,0.015316567136081385
1,5,47,0.19013271592796338
1,5,48,0.031039500872508625
1,5,49,0.20193409072309526
1,5,50,0.21729276111533735
1,5,51,-0.5714466420892326
1,5,53,-0.3888052633626906
1,6,1,0.3505076716348018
1,6,2,-1.9976364609554356
1,6,3,-0.16800509230437602
1,6,5,-0.022612182080408084
1,6,6,-1.1411053513175309
1,6,8,0.5127753493728484
1,6,9,0.4526176713727094
1,6,12,-1.0217011430710652
1,6,13,-0.31255682993650574
1,6,14,-0.2564216919820076
1,6,15,0.14708175957656316
1,6,16,1.6144392012976538
1,6,18,0.09317403014318033
1,6,19,0.14355687770173436
1,6,20,-0.6187518479913567
1,6,21,-0.1940008257031184
1,6,22,2.8589016604391957
1,6,23,0.6575770597851273
1,6,24,1.1750643458636385
1,6,25,0.267033164340146
1,6,26,-0.46782943545597616
1,6,27,0.34357120524758655
1,6,28,0.3591046702519802
1,6,29,1.249792582366136
1,6,30,-1.494636983049206
1,6,32,0.47850540495110855
1,6,34,0.08657311783307327
1,6,35,0.2464261522284054
1,6,36,0.14427183203631658
1,6,37,-0.059697617168881355
1,6,38,-0.1140563266391776
1,6,39,0.1663753894256197
1,6,40,0.17681886592481194
1,6,41,0.5644999155386828
1,6,42,-0.3722021392203381
1,6,43,0.11713454896429977
1,6,46,-0.014228306535543087
1,6,47,0.6810334724304865
2,1,1,0.07945907168459829
2,1,3,-0.3967571687626765
2,1,4,-1.3630669943931695
2,1,5,-0.1362066618719326
2,1,8,0.5446744148753057
2,1,10,-0.3130604672935818
2,1,11,1.0736825015454443
2,1,12,0.7338760699068834
2,1,13,0.0859306414318826
2,1,14,0.010439548374342383
2,1,15,-2.6459500271604774
2,1,16,0.37404337080573236
2,1,17,0.3317910526158532
2,1,18,-0.12558153269613706
2,1,19,0.11953774718770696
2,1,20,-0.024669099718487596
2,1,21,-0.0230842720614699
2,1,22,0.013161701559613687
2,1,23,0.22845113938619535
2,1,24,-0.13633278414397917
2,1,26,0.4918645658845912
2,1,31,1.145057551269389
2,1,35,-0.4230432469339317
2,1,36,0.5922795425657587
2,1,37,0.5349870537004491
2,1,38,0.370386279823022
2,1,39,0.32375045863826146
2,1,41,0.5653264270982967
2,1,42,0.1247223643394135
2,1,43,1.4654513781966267
2,1,44,0.6482247855133478
2,1,45,-0.5449408726616106
2,1,46,0.38361436124527276
2,1,47,0.7378838632328945
2,1,48,0.5496405712782994
2,1,50,0.27607214327353274
2,1,51,0.9728249304153922
2,1,52,-0.003945964658022771
2,1,53,2.061328201543129
2,1,54,-0.13018798015307517
2,1,55,3.0749182250451024
2,1,56,-0.6790550632300383
2,1,57,-3.0081860758243426
2,1,58,0.05235113476453943
2,1,59,0.4677374455544598
2,1,60,0.4498662250328518
2,1,61,0.20584302673637536
2,1,63,-0.37499033953156546
2,1,64,0.0016049060427560102
2,1,65,-0.15344561339146556
2,1,66,0.006040701591526282
2,1,67,-0.82624631652828
2,1,68,0.8266702866830081
2,1,69,-0.13456059624404487
2,1,70,0.20381009701799271
2,1,71,-0.16689822475342653
2,1,76,0.35166184088639
2,1,77,0.8266634719261681
2,1,78,2.930221510770685
2,1,79,0.9287581012455736
2,1,80,-0.494459297031782
2,2,1,1.5870485131812606
2,2,3,-0.017437583451491014
2,2,5,-1.1834151006644311
2,2,7,-0.5489908702586541
2,2,8,-0.780462082995487
2,2,10,1.1234802603063456
2,2,11,0.0724387312480817
2,2,12,0.5686861288121212
2,2,13,0.4172362226206875
2,2,15,-0.24770814750255973
2,2,16,-0.15361711547119758
2,2,17,-0.034004225668122376
2,2,18,-0.32077801448885246
2,2,21,0.15831488010126804
2,2,22,0.11067471031099516
2,2,23,-1.1349202555228042
2,2,24,0.2058688254713069
2,2,26,0.1266665128269668
2,2,27,3.276556816189488
2,2,28,-1.6705773822960637
2,2,30,-0.44939660114102425
2,2,31,-0.975384196159575
2,2,33,-0.49099802665047276
2,2,34,0.619582287389654
2,2,35,-0.013905810512614228
2,2,36,0.020017952598731657
2,2,38,2.2543550603617146
2,2,39,0.6898661366260512
2,2,40,1.580447172822143
2,2,41,0.12517538945753787
2,2,42,0.28928265610033593
2,2,43,-0.4316967957071834
2,2,44,0.05852837973183745
2,2,46,0.8167549440031049
2,2,47,-0.3186590351675436
2,2,49,-0.5114273497903014
2,2,50,-0.03590621317914602
2,2,51,0.05171475824839855
2,3,1,0.18220690534417017
