term_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
,0.19499922,-0.10760525,-0.04190759,0.17647901,-0.3360274,-0.39626426,0.0706534,0.348497,-0.29251176,-0.13899714,-0.16733393,-0.3621112,-0.20517112,0.384871,-0.21282092,-0.292438,0.3270838,0.19751054,-0.36180454,-0.2406305,0.016050188,-0.29812777,0.5270831,-0.0069810245,0.30937228,0.082208745,-0.18419708,-0.09221337,-0.04046599,0.069806755,-0.28205928,-0.05485996,0.30797622,-0.5725667,-0.070406765,-0.22438078,0.22965796,-0.380145,-0.05422108,-0.20682386,-0.37535268,0.12229244,-0.5651526,-0.2216739,-0.38295758,-0.15101123,-0.27527103,0.24958484,0.36641702,0.027952276,-0.37004066,-0.148363,0.2323254,0.36325943,0.44185612,0.058265626,-0.13952728,-0.23798871,0.007957153,0.0019765373,0.058926027,-0.11042309,-0.22140536,-0.06458988,-0.053793397,-0.11906745,0.2168327,0.3096292,-0.28157246,0.3299841,0.70910394,0.094542764,0.13748823,-0.63772637,0.033717077,-0.35509327,0.3071836,-0.14977024,0.10398026,-0.26148316,-0.084106654,0.051985875,-0.14125901,0.36725548,-0.294896,-0.013759617,0.2540452,-0.04698704,0.012559944,-0.0054455856,0.39971268,-0.17311488,0.37393826,-0.048525274,0.6183302,0.3503365,-0.18712224,-0.19766983,0.426401,0.16860864,-0.47892696,0.11986613,0.3775445,0.2432193,0.1234523,0.17978778,0.3408827,-0.17497,-0.13951014,-0.10321714,0.031012552,-0.60039246,-0.15925853,0.3556556,0.16060176,0.40122017,0.24449204,0.5262967,0.11931841,0.021547936,0.18168809,-0.25108984,0.21654399,-0.083266065,0.16276231,-0.039901305,0.24871619,0.06247916,0.27445078,0.2761445,0.24145834,0.090334825,-0.384665,-0.2969815,0.13545775,0.002344692,0.32006955,0.32467797,0.2548147,0.10970243,0.2290641,-0.034468167,-0.2641763,-0.35217083,0.028065208,0.30436963,0.09841661,-0.07466789,0.19343564,0.24242124,0.43058422,-0.073758215,-0.26226565,0.3146889,0.10291415,0.42034242,0.44419333,0.10001904,-0.24837925,0.281306,-0.3503213,-0.38996726,-0.067383945,0.10819181,0.2473073,-0.17689143,-0.059666317,-0.3656025,0.4598931,-0.06235531,0.12124423,0.028575173,0.023980595,0.14048551,0.22667632,-0.23294315,-0.6719873,0.11809502,-0.009242478,-0.14455734,-0.28636745,0.4576552,0.15295261,-0.2283001,0.16026774,-0.23213123,0.40104115,-0.20649552,0.035387028,-0.17938508,0.13369742,0.12303499,0.16635384,-0.22252382,0.013551193,0.17668377,0.16141543,-0.16691354,0.1883422,0.20124432
i,-0.2575399,0.47240368,-0.7888186,0.44248858,0.6078116,0.18997186,0.046108097,0.35569033,-0.87156206,0.81870306,-0.9020515,0.035768613,0.58392507,0.1731398,0.608053,-0.30425343,0.17199332,0.719517,-0.7979483,-0.7686344,-0.0027098875,-0.23176688,-0.15156125,-0.41209394,0.24897142,-0.42801547,0.010475137,0.19992451,-0.6010378,0.18190484,1.4257212,0.118666574,0.21536551,-0.43683532,-0.63171935,0.1504733,0.3396258,0.58933157,0.11923682,-0.054764457,-0.21256174,0.07007539,-0.14854689,-0.28939915,0.07498953,-0.0036939094,0.0836002,-0.19911262,0.06956628,-0.2816273,0.09257289,-0.10305001,-0.30671567,0.41902402,-0.32441017,-0.26458755,-0.44862854,-0.63212234,-0.23567662,0.00031395204,0.55528545,-0.36968285,0.20221585,-0.031325754,-0.6661129,0.27920723,0.19882494,0.21164139,-0.7393229,0.43751523,0.009897837,0.025248133,0.47146052,-0.33809674,0.09454672,0.15882567,0.84567934,0.72677773,-0.17812535,0.090730734,0.24837859,-0.1448512,-0.6935478,-0.71391416,-0.38934427,-0.56455,-0.47128505,-0.21319857,0.14906122,-0.37112036,-0.15524419,0.44402918,0.41727716,-0.16903651,0.4587678,-0.3317395,0.39530152,0.2739461,0.29081187,-0.8958304,0.2651825,-0.41147345,-0.37229073,-0.25805005,0.92703676,0.46351326,0.07354316,0.064017065,0.3859397,-0.1383665,0.074991554,-0.025329504,0.5121163,-0.17523058,0.071694635,0.15049337,0.21984257,0.098584145,-0.26771286,0.4701051,0.12253928,0.0111173615,0.48328996,0.9030825,-0.45149115,-0.2353233,0.42304674,0.11072573,0.06907455,0.07083474,0.22407387,-0.31986743,-0.7723727,-0.7262115,0.44431677,0.4490816,-0.060273275,-0.35522604,-0.4726522,0.59413856,0.14760302,0.42725706,0.5916718,-0.5697863,0.3670517,0.29964766,-0.2711778,-0.027930427,0.052572258,-0.07134003,0.3301457,-0.043128785,-0.07990171,-0.48579735,-0.47385234,0.02213721,-0.03012083,0.7758557,0.28325,-0.24474172,0.02845718,0.24209827,0.535916,0.5682757,0.1286665,0.17193793,0.22335103,0.088705264,-0.013454043,-0.48222047,-0.061913583,0.047514893,-0.6057223,0.43737757,-0.2424765,-0.6498344,0.04017143,0.6447064,-0.024326375,0.3103535,-0.42687312,0.24834196,0.38631168,0.18820989,-0.4339853,-0.057353787,0.5416695,0.8174653,-0.33166903,-0.4266747,-0.008167642,-0.2814775,-0.1787617,-0.37329704,0.51707107,0.34248635,0.4007017,-0.450381,-0.14700846,-0.5963189
you,-0.6108972,0.21466279,-0.75135165,0.57229614,0.57742596,-0.26254287,0.049398664,0.315292,-0.53324455,0.5671298,-0.3353201,0.06437949,-0.2559387,0.07103133,0.11123265,-0.2932358,-0.009314833,0.18696426,-0.08081016,-0.8371214,0.28151813,-0.62742686,0.07099173,0.087412976,-0.077199854,-0.4332569,-0.19563012,-0.19065969,-0.7967955,0.18588728,0.47107956,0.10552328,0.11668066,-0.8993498,0.09926216,-0.13051492,0.021382036,0.017161215,-0.20482521,0.44684047,0.46927407,-0.20169292,-0.66823626,0.37303844,0.29381883,-0.4790318,0.22703366,-0.1719541,0.07658864,-0.5919154,0.20914494,-0.17211208,0.15315653,0.21075802,-0.50575155,-0.4783897,-0.40916088,-0.74315315,-0.2153051,-0.17609945,0.57672507,-0.5539128,0.1078975,-0.117460825,-0.2944798,-0.03824585,0.44410658,0.2497597,-0.30117878,0.52607214,-0.16354361,0.5612894,0.21153568,-0.036857486,0.73383933,0.5193479,0.18729241,0.6822342,-0.47611886,-0.024574125,-0.52377564,-0.39710358,-0.0023559756,0.101681545,-0.38056564,-0.46682358,0.11966008,0.13549317,-0.12058413,0.045602527,0.13449575,-0.16597585,0.32484096,-0.45221606,-0.02166281,-0.68218327,0.13798666,0.48824117,-0.22851422,-0.23393716,-0.23098923,-0.19115745,0.26712096,-0.7590932,-0.08490305,0.371946,0.2185189,-0.45465633,-0.034340195,-0.38796067,0.083923995,-0.034629557,-0.3357312,-0.49075595,-0.4181299,-0.5969121,-0.66284454,-0.20955947,-0.3562483,0.31203604,-0.68268573,-0.078037776,0.4634081,0.7535964,-0.32233277,-0.4417218,0.26070783,0.12550859,-0.11712999,0.4279046,0.56673527,-0.48088706,-0.43614596,-0.78208524,0.5181223,0.20374945,0.13036694,0.18241566,0.060255073,0.08857509,0.26361054,-0.26720965,-0.47050276,-0.6471763,0.16401236,0.015486507,-0.067848824,0.49052957,0.10444619,0.051002324,0.14184645,-0.19244103,0.32240668,0.013469398,-0.4871229,0.22816014,0.06232905,0.37767008,-0.17876741,-0.19402322,0.19757481,0.016254188,0.40004602,-0.23125742,0.046203986,-0.10892787,-0.17032224,0.21668296,-0.12594032,-0.2479513,0.42410785,0.40303528,0.6642971,0.2552206,-0.3269359,-0.015688416,0.12042315,-0.11015247,-0.0071536023,-0.13568345,0.2056605,-0.14739187,0.26225334,-0.3704504,-0.065732844,-0.72646844,-0.39694482,0.87511915,-0.25945878,0.32465106,0.42856097,0.22541192,-0.32235658,-0.103129916,0.59592146,-0.016367644,-0.08007896,-0.40590653,-0.043350507,-0.31919402
the,-0.03977884,-0.15563963,0.3795146,0.15320735,-0.11507045,0.10584496,0.63132006,0.08570073,-0.26713324,-0.02862347,0.4680365,-0.1645192,0.042559333,0.19295262,-0.66481906,0.19713427,0.28911117,0.3729758,-0.018702986,-0.29616556,-0.028486624,-0.13819999,0.24019083,0.038880676,0.30985898,0.37681085,0.30792123,-0.2061071,0.77175426,-0.3699008,-0.14507459,0.73642814,0.0963953,0.09035735,-0.15034601,0.5612091,-0.2911122,-0.018379426,0.022091415,-0.4803329,0.21353078,-0.31235662,0.7776932,-0.88065535,-0.12132419,0.16626242,0.017564584,-0.33538917,-0.061933905,-0.26038986,-0.45067498,-0.22682431,-0.21179013,0.03372717,-0.16221866,-0.8408323,-0.10908698,-0.38598767,0.1027156,-0.14024167,-0.25096774,-0.35479552,0.31478152,0.010824026,-0.1499183,0.030789634,0.2595096,0.52717394,0.04340765,0.022505514,0.2978284,0.04790706,0.07988174,0.50785106,0.41323844,0.077576146,0.2601472,0.13953276,-0.26708463,0.23469491,-0.031170823,-0.34504005,-0.42307118,0.06540546,0.071565606,-0.27983612,0.3091526,-0.022450082,-0.10842545,0.06422233,-0.20644738,0.414331,0.4144947,0.32008925,0.72567654,0.5089929,0.3379578,-0.25708252,0.18366008,0.40597907,0.3265262,0.105260044,0.23839255,0.2672052,-0.20361358,-0.058834482,0.32701907,-0.46999744,-0.30713943,-0.0050255256,-0.09005771,-0.05592418,0.261235,-0.10301323,-0.19622576,0.5085341,0.018541168,0.44836217,-0.13566855,-0.35646653,-0.033232644,0.5711532,0.17530078,-0.4815786,-0.32615733,0.323756,-0.3247697,0.5192056,-0.74615663,0.74722105,-0.20784028,-0.42954007,0.655541,0.11648545,-0.35452786,0.43913525,-0.66516167,-0.21642642,-0.28398442,-0.08914303,0.3391085,0.009682081,0.086714655,0.46255377,0.29752734,-0.08995825,-0.031867336,-0.37180477,0.28149962,-0.02018214,-0.4936399,-0.25063288,0.39184836,-0.110665426,0.009301199,0.2973386,0.07560554,0.32010457,-0.28000322,-0.13043243,0.3651903,0.051635932,-0.061026253,0.48355407,-0.052602243,0.45427155,-0.516603,0.07296227,0.0039279237,0.07086961,-0.13877821,-0.3247417,-0.043717816,-0.46986857,0.0031382968,0.1682977,0.0437606,0.006676479,0.34882742,-0.18104628,-0.07304544,-0.42730033,-0.45745063,-0.01781425,0.2670125,-0.15193367,0.35502157,-0.16594672,-0.21529892,-0.39530912,-0.23120522,-0.3368661,-0.08858832,0.6346437,-0.16897604,-0.39639518,-0.13822664,0.20366262,0.16150019,0.0736114
to,-1.0932422,0.33790568,-0.2857614,0.92250246,0.4093427,0.13523673,0.28306934,-1.0241551,-0.5567779,0.6472265,0.119475074,0.17879331,0.55449927,0.048158485,0.6081722,0.20640618,-0.40953422,-0.4665728,-0.340849,0.54361206,0.1861443,0.89301455,0.9171643,-0.5499644,0.4491185,0.1834245,-0.25228512,-0.5228989,0.16255648,-0.24529295,0.35687315,-0.15911189,0.14372608,0.45236343,0.18783784,0.75836325,-0.39067644,0.40381402,-0.111731164,0.020389415,-0.13914897,0.30135563,-0.04663987,-0.42402166,-0.23130727,0.059200786,0.5310523,-0.33324358,-0.089343525,-0.2079898,0.45385963,-0.25532964,0.068202585,-0.038349945,0.029562403,-0.27521667,0.16190612,-0.089111365,-0.16239454,-0.71215564,-0.41485986,-0.25033528,0.3049243,0.032927223,-0.574986,-0.21221915,-0.22005899,0.50504196,-0.72902006,0.40839216,-0.77984834,0.14966531,0.3221195,0.80255735,-0.36379802,-0.121949956,-0.23163033,-0.61801004,-0.8689419,0.1827677,0.072021134,-0.28483143,0.5573591,-0.12577797,-0.18118191,-0.13860252,-0.36825368,-0.4121425,-0.4195595,0.4087294,-0.05744721,0.015201636,0.14005189,-0.043514945,0.2587239,0.7925289,-0.21306854,0.7272224,-0.030676128,-0.40333536,-0.37517315,-0.44378105,-0.3218136,0.22421087,0.27143335,-0.5854766,-0.3324593,0.0552419,-0.14149417,-0.57400584,0.102652885,-0.11840963,-0.08514535,0.018045407,-0.13072062,0.52084076,0.074964866,-1.0843298,0.16737351,-0.1736464,-0.3916199,0.24816442,0.17831185,-0.48663715,0.5075217,-0.5373444,-0.28889972,0.4919129,-0.62644047,-0.47237474,0.43267855,0.4176236,0.06149882,0.33298433,-0.63264704,0.36605403,0.111627735,0.34106177,-0.10056436,-0.027006488,-0.14533974,0.25186497,-0.12458104,-0.6460813,0.084230036,-0.21285504,0.28090405,0.37727678,0.27359566,0.60506994,0.40256813,0.57875407,-0.12945512,0.1807741,0.3455787,-0.5650441,-0.15391931,-0.31133622,0.47208583,-0.13272978,0.33249098,0.8192408,0.6963434,-0.12548906,-0.549654,-0.26941437,-0.5548353,-0.69746095,-0.00464863,-0.27298045,-0.092455976,0.36982,-0.49048162,-0.6550417,0.12459797,-0.3313952,0.06568843,-0.15474081,0.31125122,0.54366195,0.3214732,-0.10497865,-0.5288911,0.5421598,0.3805379,-1.0079675,-0.17019309,0.6610686,0.51957846,0.40507343,-0.48272145,0.80961716,-0.23524128,0.51358217,1.1900048,-0.3001803,-0.33457726,0.46904767,0.2499175,-0.4998117
a,0.17440164,0.12064439,0.30282173,-0.6277442,-0.5621109,-0.27673468,-0.40396994,0.65727377,-0.5586346,-0.4617021,0.21539299,0.012218791,0.85879755,-0.28756967,0.27141997,0.47578347,0.4424138,0.27558544,-0.4903855,-0.85895145,-0.18159606,-0.1819546,0.20211928,-0.818923,-0.6013253,-0.23523787,-0.013941209,-0.5814865,0.48979685,-0.17220624,0.04252676,-0.086526655,0.08813738,0.5129327,0.11832914,0.32345414,-0.6734274,-0.2447913,-0.11184825,0.33916748,-0.051086955,-0.16872416,-0.19690727,0.5530848,-0.25436068,-0.46531507,-0.19441168,-0.15519315,-0.6137236,-0.01737969,-0.10829622,-0.09964559,-0.6851418,-0.37233767,0.22985937,-0.31821457,0.07496134,-0.21186855,0.5803013,0.21889047,-0.17708957,-0.30631727,-0.10030989,0.15335281,-0.51509327,0.8780972,-0.6223018,-0.363093,0.13673021,-0.33464745,0.5497257,0.48989433,-0.03867384,0.22336516,0.29779792,0.4116378,0.4461288,-0.17819779,-0.59621805,1.0201824,0.20869751,0.37300074,0.19450496,0.058336776,-0.21196802,0.11943949,-0.45770183,-0.1587639,0.99866354,0.36097723,0.0814413,-0.0068746707,0.3139529,0.6024516,0.20679286,-0.042386457,0.70800287,-0.5086608,0.482766,0.09876177,0.49446023,0.5480018,0.3477955,0.1476077,-0.05623833,-0.44604075,-0.029324412,0.89579284,-0.23128694,0.15483765,0.09375562,-0.1919581,-0.28505367,-0.37807396,0.20017932,-0.027163593,0.41041338,0.21551241,-0.1590122,-0.3378238,-0.62077236,-0.49622443,-0.15436956,-0.5833316,-0.78772557,-0.17735124,-0.70966625,0.17690445,-0.27230123,0.22611687,-0.05787908,-0.5465909,0.41225556,0.4978172,-0.24185127,-0.025682542,-0.6107242,-0.052021217,-0.19141126,-0.6412758,-0.09524431,0.24102624,0.16664916,0.7563793,-0.045712058,-0.08599432,0.0154553205,-0.289887,-0.79389715,0.45442405,-0.33685702,-0.018276522,0.09748117,-0.14286332,-0.2809317,0.049541183,0.033615746,0.29335997,0.252901,0.25415596,-0.0721129,0.33777016,-0.37060982,-0.20272055,-0.3714339,-0.03541927,0.23566762,0.4498563,-0.59606415,-0.19707796,-0.62016547,0.06886236,0.05987989,-0.1630507,-0.048060693,0.061277542,0.101540044,0.05610891,-0.31795293,-0.46004498,0.24755698,0.853656,-0.0019800717,-0.0012395276,0.49029616,-0.022068368,0.08188484,-0.19843169,0.36981335,-0.05736783,-0.048919525,-0.5716304,-0.20568064,0.82355165,0.5707663,-0.33130658,-0.5806579,0.1078559,-0.55174375,0.1529467
it,0.1293534,-0.48548698,-0.1394754,-0.17046478,0.7197912,-0.15506111,0.4399397,0.5329035,-0.41461158,0.08642277,-0.46997425,-0.103339024,-0.03599183,-0.20618771,0.026803171,-0.16319261,0.5354499,0.0062539405,-0.049923252,-0.42933288,0.0038566003,-0.0841438,0.44353136,0.24147052,0.04806498,0.29705074,-0.5539868,0.5518638,0.0091664735,0.39403957,0.89160186,0.35157663,-0.06659454,-0.14675458,-0.024327021,0.1151005,-0.003420382,-0.22562437,0.22880338,-0.4641227,-0.1764076,0.2003275,-0.30797353,0.4186278,-0.6292104,-0.26222685,0.4889535,0.21686685,-0.12493939,-0.14021766,0.035003696,-0.5355528,0.24396887,0.12509447,0.19480984,0.1978594,-0.47054377,0.08744018,0.3675137,-0.18874423,-0.5218297,0.1103037,0.46768183,0.38939488,-0.020947447,0.40431494,0.5248427,0.10868928,-0.41014126,-0.005416424,0.22660944,0.09276816,0.4132427,0.13375042,-0.24402668,-0.06444656,-0.091102704,-0.14646503,-0.2792391,0.2756884,0.0009381542,0.49369243,0.29708457,0.22498861,0.015297418,0.06851202,-0.16886641,-0.15228853,-0.091781706,0.0699485,0.51547086,-0.18451582,0.46200377,-0.54231477,-0.27350363,-0.39202973,0.5691255,0.22924076,0.6575546,-0.047175042,0.02760987,0.1383693,-0.34561473,-0.31690404,-0.032378104,0.0464572,0.01451038,-0.20747416,0.028900018,-0.109961115,-0.31951907,0.21695785,-0.26474062,-0.4766749,0.21376441,0.41393957,0.23422185,0.04323188,0.13685428,-0.07283155,0.11724258,-0.033437718,0.100834675,0.13650855,0.1263745,0.09842601,-0.18670282,-0.7298468,0.29126728,0.046126068,-0.103580385,0.37834385,0.12765223,0.02111854,-0.25548756,-0.09314971,-0.4951572,0.45948368,-0.03095807,-0.19869897,0.13787566,0.17542276,0.32637838,0.18085551,0.44897494,-0.07341883,-0.08331762,-0.3780869,0.42680228,0.1527051,0.071793675,-0.29160625,-0.49924088,-0.009213978,-0.14195453,0.6700918,0.33030543,-0.035528906,0.28607628,0.39520767,0.48583576,0.2687205,0.5682003,0.28606656,0.26556617,0.467325,-0.35045245,0.20707507,-0.18491195,-0.118962914,-0.037826292,-0.2742556,-0.5572062,-0.11400441,-0.041345257,0.1550213,0.001997027,0.458684,-0.08697799,0.14493304,-0.15476997,-0.061197437,0.42137757,0.52326775,0.094716795,0.18581086,0.66670924,0.6048504,0.3237331,-0.5104349,0.47508195,0.11799791,-0.6328648,-0.4266486,0.07670226,-0.1887817,0.5039109,-0.25780734,-0.19770801,0.25872403
s,0.46880302,0.22358464,-0.20545395,0.109560534,0.91951096,-0.56096673,0.46354294,0.7953161,0.5998048,-0.58747935,0.2604782,-0.7633056,-0.6899668,-0.3147199,-0.50183016,0.5333543,0.66432524,-0.1702521,-0.19860743,-0.39235026,0.47410166,0.43144646,0.42968848,0.0516765,-0.7921456,0.4128215,-0.10319326,-0.077828124,0.17900054,-0.23909526,-0.27949437,-0.09409041,0.27630076,-0.48667455,-0.2533117,-0.57401663,0.70642763,0.08861214,-0.30498293,0.3937704,0.5805197,-0.1623126,-0.11757196,0.37369868,0.17206456,0.120476715,-0.004971273,-0.44802073,0.2711165,0.64057285,-0.051047232,-0.021271147,-0.009706638,-0.3379569,-0.35225824,-0.28873286,0.20073959,-0.23104313,-0.3844593,-0.085724905,-0.2898076,-0.37854266,0.30940112,0.1072967,0.05509053,0.37093973,-0.29835564,-0.11765171,-0.41645166,0.11000032,-0.25257897,-0.43289116,0.7562813,0.34603804,0.19777256,-0.17925303,0.6356947,-0.21789666,-0.34840977,0.0072506582,-0.13861012,-0.25730175,-0.10021306,-0.30574727,0.0887596,-0.06985238,0.65844965,0.33347684,-0.29910553,-0.25821954,0.47649482,0.23652491,0.51915795,0.8749269,0.25663647,-0.28721726,0.13052528,0.8449849,-0.46744823,0.3556739,-0.023687232,0.24446045,0.5858071,0.5193921,-0.13468426,-0.34409893,-0.44217655,0.15803346,0.2639862,0.44743758,-0.16071321,-0.35143843,-0.032571282,0.63242793,-0.22569624,-0.2306247,-0.23861225,0.3651934,0.40098593,0.06212647,-0.11831606,0.30703595,-0.32594123,-0.20205307,-0.40925518,-0.17152351,-0.15117021,0.38745952,0.04041975,-0.47358617,-0.096527025,-0.6367473,0.40261072,0.26121384,-0.15222393,0.28683844,0.43510765,-0.056063987,-0.57932156,0.64047873,0.5236705,-0.111877464,-0.27400166,0.26787937,0.15028398,0.69534487,0.08110888,-0.58706105,-0.22365898,-0.094967045,-0.1739175,-0.07598939,0.43326268,0.3389254,-0.040461052,0.49487182,0.41070083,-0.30003396,0.71412116,0.74216586,0.20106404,-0.20962283,-0.11118336,0.27208316,0.6111897,0.14824244,0.42000958,0.41659155,0.2989901,0.5844093,-0.58113766,-0.15377794,0.19331867,-0.19702493,0.064806566,0.32544267,-0.256577,-0.07797473,0.04398277,0.24990694,-0.72490805,-0.0074988413,-0.5227732,-0.014735857,-0.2209544,0.17031676,-0.34636843,-0.19901772,0.37593475,0.62421346,0.21386981,-0.2594465,-0.43097055,-0.48896497,-0.42907104,0.46923313,0.538016,0.7557817,0.3056094,0.37924626
and,-0.45428598,-0.09509879,0.3429497,0.3191056,0.07523806,0.0900022,0.28891444,-0.118043095,-0.21134488,0.16820191,-0.18488437,-0.35161138,0.05933545,-0.10878714,0.037921704,0.13476343,-0.0595086,-0.018304076,0.25040016,-0.12808622,0.09812639,0.10269835,0.29027113,0.14106074,0.083033554,0.14646319,0.21771593,-0.28573138,-0.21105026,0.011921267,-0.1432682,-0.15876041,-0.22503842,0.20902634,-0.0039662635,0.22226752,0.017163226,-0.31745237,-0.38873297,-0.23124093,-0.42570126,0.022050086,-0.07587617,0.44610676,0.31235868,0.07049066,-0.20854045,-0.34685194,-0.1972867,0.04525106,-0.20700163,0.15507264,-0.10953096,0.29584345,0.19575542,-0.41419747,0.07823698,-0.07470456,-0.0071142735,-0.030441953,-0.3397845,0.10332567,-0.22623669,0.33035624,0.082784474,0.07059256,-0.24298726,0.3148654,-0.106512606,0.13190936,0.36476547,0.087137364,0.4073695,0.2138157,-0.21795467,-0.14398736,0.29826885,-0.25269243,0.27053693,-0.15626766,-0.6508037,-0.5791356,0.030502308,0.19283494,-0.1310311,-0.028302634,-0.39116663,-0.021605935,0.08407549,-0.22316577,0.43530306,0.06301751,0.17337508,-0.04332026,0.09630468,0.4725357,0.18780448,-0.15302368,0.22667184,0.07560584,0.050641667,-0.22171648,-0.08707992,-0.19385603,0.28963566,-0.21027113,-0.068480134,-0.12010507,0.08480161,-0.47420394,-0.14285143,-0.23035465,-0.019916702,-0.28407887,0.3578021,0.009364636,-0.0454976,-0.06301999,0.4508466,-0.4327553,0.016458998,-0.11526961,0.026475463,-0.1945352,0.06941813,0.06073031,-0.23744671,-0.14134948,-0.13634872,-0.56712043,0.31275922,0.5556186,-0.2619221,0.07477819,0.015899524,0.1271858,-0.16359574,-0.36044112,-0.058855195,-0.5556902,0.09303069,-0.45414382,0.26390943,0.15197846,0.008498158,-0.34892482,0.03299427,-0.19840924,0.14240181,0.033690218,0.0034553,0.3819928,0.11037827,-0.048768364,-0.0017050139,-0.1469525,0.15833963,0.4081013,0.023933414,0.16298541,-0.18402873,0.11855432,-0.1376689,-0.2565894,0.2714253,-0.037975784,0.08566413,-0.3200853,0.34808362,-0.17353807,-0.115216404,-0.061574243,-0.13585705,0.23624495,0.45689783,0.0638859,0.24579096,-0.10973976,-0.16333172,0.3720351,0.074039176,0.28022107,0.15852581,-0.016397173,0.08734139,-0.5124622,0.1390047,-0.033837967,0.299111,-0.36621097,-0.12937677,0.5320185,-0.19349697,-0.05769903,0.39168087,-0.3326346,-0.25205064,0.013079696,0.10763496,-0.23294526
that,-0.05535695,-0.37233892,-0.21316938,0.14057311,0.08043741,-0.02633003,0.28040618,0.5476532,-0.18289529,0.116016746,-0.32356048,0.112437785,0.049592182,0.08560481,-0.16130751,0.0068723247,0.4342221,-0.013517097,0.26613724,-0.3917045,0.35897318,-0.09620254,0.010533328,0.11355019,0.2018375,0.025491353,-0.2530126,0.26477796,0.051343337,0.1530962,0.4349189,0.03883885,0.019616364,0.08191118,-0.110002294,0.011175001,0.14764638,0.16212307,0.12129731,-0.30843675,-0.16357763,-0.052271213,0.09205514,0.33420956,-0.37083438,-0.41374794,0.26567534,0.0023036078,-0.16814762,-0.21751888,0.208201,-0.3839211,0.15207416,0.32528862,0.20071062,0.28187618,-0.12945375,-0.074199304,0.33073464,-0.16447195,-0.3036822,-0.07295907,0.18216285,0.29533863,-0.15236627,0.6893102,0.3805452,0.34260097,-0.52847075,0.056255925,-0.0045074783,-0.10331969,0.44109148,-0.041445803,-0.08959632,0.006799241,-0.087284625,0.29047072,-0.3923156,-0.035628058,-0.17654522,0.11455634,0.088559434,0.2085047,-0.14903373,-0.0014232747,-0.14207627,0.11311716,0.10020546,-0.23464966,0.3159962,-0.27917448,0.097959004,-0.2682153,0.070557676,-0.3185119,0.6160154,0.33908853,0.49180907,-0.20022045,0.37180585,-0.014950522,-0.29855996,-0.17191496,-0.01794797,-0.18982448,-0.048847042,-0.22188017,0.102890275,0.06893486,-0.1568027,0.44770205,-0.064508654,-0.24545285,-0.12575567,0.4513637,-0.059580002,0.13515128,-0.13307278,0.03832919,-0.027142564,-0.07667891,0.23133837,0.1339497,-0.10007999,0.1765801,-0.3826028,-0.6530653,0.17784962,0.36637458,-0.19940162,0.122366905,-0.05793798,-0.137409,-0.3267984,0.14097846,-0.4940417,0.3090915,0.06317289,-0.20356336,0.015902005,0.06644685,0.2939327,0.2979563,0.14300172,-0.07862968,-0.12447115,-0.43225414,-0.032267895,0.19593921,-0.09578887,-0.020050999,-0.040406246,-0.36191034,0.030044107,0.17347673,0.10869608,0.26287192,0.2794879,0.210063,0.4445193,-0.09838701,0.50688505,0.14057541,0.12193008,0.19622356,-0.33330733,-0.008687498,-0.1026828,0.03350374,-0.11505751,-0.16219647,-0.35284844,-0.38049576,0.3439496,0.27548856,-0.30995616,0.4419076,-0.07409997,0.19936292,-0.11076706,-0.30589038,0.29280874,0.14473294,0.23867232,-0.1425536,0.22914548,0.27000841,0.39098996,-0.38932836,0.2880377,0.29484704,-0.12048123,-0.23616822,-0.2387313,-0.21494314,-0.0035308385,0.13420035,-0.258301,0.10386893
