season,episode,scene,line,term_str,n,tfidf,max_pos,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
1,1,1,1,good,1,0.3510596588774451,JJ,0,1,0,0,1,0,1,1,1
1,1,1,3,guidance,1,0.8159108901066239,NN,0,0,0,0,0,0,0,1,1
1,1,2,6,deal,1,0.07404514556943621,NN,0,1,0,0,1,0,1,1,1
1,1,2,6,gentleman,1,0.09924640740758157,NN,0,0,0,0,0,0,0,1,1
1,1,2,6,mistake,1,0.08625921219806836,NN,0,0,0,0,0,1,0,0,-1
1,1,2,6,sir,1,0.08080630508390552,NN,0,0,0,0,0,0,0,1,1
1,1,3,13,cabinet,1,0.5171272297156377,NN,0,0,0,0,0,0,0,1,1
1,1,3,13,special,1,0.37871355909533105,JJ,0,0,0,0,1,0,0,0,1
1,1,4,16,found,1,0.14850780805143116,VBD,0,0,0,0,1,0,0,1,1
1,1,4,16,god,1,0.10481329838354893,NNP,0,1,0,1,1,0,0,1,1
1,1,4,16,hilarious,1,0.17433089205239746,JJ,0,0,0,0,1,0,1,0,1
1,1,4,16,mug,1,0.18069545366412976,NN,1,0,0,1,0,1,0,0,0
1,1,4,16,pretty,1,0.12610224712113685,RB,0,1,0,0,1,0,0,1,1
1,1,6,18,pay,1,0.19961414296732424,VB,0,1,0,0,1,0,0,1,1
1,1,7,20,love,1,0.7953363114517387,VBP,0,0,0,0,1,0,0,0,1
1,1,10,39,problem,1,0.2857076769341879,NN,0,0,0,1,0,1,0,0,-1
1,1,10,40,cabinet,1,1.0342544594312755,NN,0,0,0,0,0,0,0,1,1
1,1,10,40,garbage,1,0.8951001762389699,NN,0,0,1,0,0,0,0,0,-1
1,1,10,40,special,1,0.7574271181906621,JJ,0,0,0,0,1,0,0,0,1
1,1,10,41,brother,1,0.30120447861362787,NN,0,0,0,0,0,0,0,1,1
1,1,10,43,lovely,1,1.8043485020756918,RB,0,1,0,0,1,1,1,1,1
1,1,10,46,panic,1,2.4126260419510004,NN,0,0,0,1,0,0,0,0,-1
1,1,10,47,excellent,1,0.5496225115729272,NN,0,0,0,0,1,0,0,1,1
1,1,10,47,good,2,0.546092802698248,JJ,0,1,0,0,1,0,1,1,1
1,1,10,48,panic,1,0.5744347718930953,NN,0,0,0,1,0,0,0,0,-1
1,1,10,49,alarm,1,1.2913952909298911,NN,0,0,0,1,0,0,1,0,-1
1,1,10,49,kind,1,0.7887772958124453,NN,0,0,0,0,1,0,0,1,1
1,1,10,50,convince,1,0.3613389009144544,VB,0,1,0,0,0,0,0,1,1
1,1,10,51,problem,1,2.761840877030483,NN,0,0,0,1,0,1,0,0,-1
1,1,10,53,bitch,2,0.3291014792671431,NN,1,0,1,1,0,1,0,0,-1
1,1,10,53,concerned,2,0.3720302680575604,JJ,0,0,0,1,0,1,0,0,0
1,1,10,53,excluded,1,0.23418889559166312,VBD,0,0,1,0,0,1,0,0,-1
1,1,10,53,present,1,0.16144454620957627,JJ,0,1,0,0,1,0,1,1,1
1,1,10,53,real,1,0.1230190642224064,JJ,0,0,0,0,0,0,0,1,1
1,1,10,53,wan,1,0.1248048735921304,VBP,0,0,0,1,0,1,0,0,-1
1,1,11,62,god,1,0.5621804186026715,NNP,0,1,0,1,1,0,0,1,1
