term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
,-0.003785502341472655,-0.0036752371769341627,-0.0022478825970909484,0.0005901104256925408,-0.002755226645412884,-0.0004971585752631709,0.005798199089997547,0.0018802549848339868,-0.006569864784853127,0.003997501836244216
0,-6.422673127642665e-06,-4.857446890819115e-06,-5.063082861943652e-06,-6.138935446471796e-06,-3.8618213725834245e-06,-7.235898174433131e-06,3.6979341707632096e-06,2.8326646029672482e-06,-9.587536035138902e-06,-7.781370279986232e-06
00,-9.225134760976093e-05,-8.010535432571057e-05,-5.7840011517167186e-05,-0.00010155037677398824,-6.864348388240409e-05,-2.6753285627174005e-05,5.612631844901335e-05,3.7242829365636145e-05,-0.00014352049788705996,-0.00011598824861896264
00983126,-7.1387480366968855e-06,-5.001721035060303e-06,-5.2972483863265226e-06,-6.6781820666611505e-06,-3.709671168634375e-06,-7.570951583780475e-06,4.139672354358509e-06,2.661646625435846e-06,-9.686864303970921e-06,-9.336074951147444e-06
01,-1.0073494090957772e-06,-7.785960936574367e-07,-8.706946720403077e-07,-1.0983238993389077e-06,-7.0250692845873e-07,-1.40660396973978e-06,-3.1027276068090786e-06,-5.53067476225771e-07,1.285849571165453e-06,-8.197105825643407e-07
0175,-2.281697158399932e-06,-1.7466034854035944e-06,-1.5763195474222054e-06,-2.28551860658967e-06,-1.5408581824580882e-06,-2.636543100081147e-06,2.5506884427557874e-06,1.0396830034932297e-06,-4.498530501030969e-06,-4.465274395191407e-06
03,-2.5247925235786404e-06,-2.0317957871328146e-06,-2.40668797169578e-06,-4.956408599580365e-06,-3.7999525802024718e-06,1.2907395799606748e-05,9.850391156837146e-07,4.5591921847085375e-07,-2.6847094674124077e-06,-2.973190660781093e-06
05,-1.4550614572255258e-05,-3.247635321346422e-06,-1.9577274600992226e-05,7.681264317395731e-05,2.4555856199457322e-05,7.269963163027866e-06,2.9524691712256684e-06,2.348867222016335e-06,-9.767231399487076e-06,-1.6481077005047758e-05
07,-3.090129358997197e-06,6.415283741339195e-06,-1.7729948569784137e-06,-2.2293685635252487e-06,-1.3846380744827636e-06,-2.8003988302635777e-06,1.2636375835796987e-06,8.65806646393323e-07,-3.7262417092753988e-06,-3.869741147794315e-06
1,4.4069922312587e-05,-4.330106644448996e-05,-4.346949142793153e-05,-4.564156983893006e-05,-3.2425215831973586e-05,-6.97135297871676e-05,9.923517010270686e-05,-5.556607768399992e-05,-2.0682497575402345e-05,-8.47037444796914e-05
10,-3.615879506658597e-05,-2.9498745993570066e-05,-4.120143505056007e-05,-1.7076365855417922e-05,-1.8370432685444035e-05,-4.981027065948736e-05,2.121495886476091e-05,1.7152657696076197e-05,-6.905908663563301e-05,-7.05588128769906e-05
100,-7.450457767757279e-05,-6.348135178869938e-05,-6.051287325916447e-05,-8.008367534719371e-05,-4.957830704225369e-05,-9.667577142044958e-05,6.738455441477622e-05,1.8241627906235606e-05,-0.00011573420036895201,-0.0001091153764108286
1000,6.53293383923541e-06,-3.249144231040499e-05,-3.906450046937632e-05,1.4825843960068278e-05,-4.754520382493108e-06,-3.229220816986523e-05,2.1863369882630652e-05,1.4880189467033124e-05,-5.6862973532363725e-05,-5.909450618963327e-05
10000,-6.592983270328794e-06,-5.705344053269761e-06,-6.283906792247564e-06,-6.367510484393199e-06,-4.246681622061931e-06,-8.818669069336309e-06,1.894688033234501e-06,2.476432957358013e-06,-1.0011029122198904e-05,-1.116049884606141e-05
100000,-1.542534817860469e-06,-1.1561147173093074e-06,-1.22088276279735e-06,-1.4952745531113482e-06,-8.988473395830041e-07,-1.803507262902044e-06,1.004176987935526e-06,6.206707666202056e-07,-2.5026081362488683e-06,-2.0480761538938964e-06
10001,-3.2663739695171535e-06,1.4670876165381148e-05,-1.2459480899358345e-06,-1.7289068112391076e-06,-1.09321078479657e-06,-2.2300948047233838e-06,9.96881577071262e-07,7.02580035483774e-07,-3.0745884501888058e-06,-3.3283681311284728e-06
