pc,pole,gloss
0,0,yeah oh hell yeap totally coward bestiality blogger mostly toast
0,1,yes no okay what hey you i michael s it
1,0,yes yeah maam sir woohoo goooootee inbwit bosses congratulations indeed
1,1,okay no hey what you ok s mmhmm i oh
2,0,okay yes yeah bye everything sherri fine pop woo calibrate
2,1,no hey what mmhmm ok i you hi oh really
3,0,no okay yes yeah way problem thanks not games kidding
3,1,mmhmm hey what ok hi you really a wow michael
4,0,mmhmm no okay yes yeah way problem bravo games safe
4,1,hey what ok you hi oh i michael really s
5,0,hey no mmhmm okay yes yeah guys dwight creed david
5,1,what ok hi i oh you really that it s
6,0,ok hi oh thanks  good hello sure great really
6,1,what no are doing hey about happened okay yeah s
7,0,hi michael hello mmmhmm sure guys oh uhhuh yep really
7,1,ok what hey no okay yup great nope bye yes
8,0,hi what ok no hey okay yeah yes mmhmm doing
8,1,oh really i yep wow thanks hmm it  right
9,0,oh god what my really hi thanks wow hey 
9,1,yep michael i you hmm right it nope do bye
