pos_group,n,def,p,i,h
$,144,dollar,0.00018348179643968865,12.412075441761093,0.0022773898995992674
'',1320,closing quotation mark,0.0016819164673638125,9.21567822895759,0.015500000971209944
(,19,opening parenthesis,2.420940369690336e-05,15.33407292975982,0.0003712287618743131
),33,closing parenthesis,4.2047911684095316e-05,14.537606323844951,0.0006112759868031781
",",47528,comma,0.06055918625823279,4.045510370004243,0.24499281600669923
:,1235,colon or ellipsis,0.0015736112402987186,9.311705116731366,0.01465300383803557
CC,15399,"conjunction, coordinating",0.019621084606769205,5.671451397271679,0.11128002770904703
CD,5873,"numeral, cardinal",0.007483254100627023,7.062118520705978,0.05284762737918706
DT,57949,determiner,0.07383740709641332,3.7595042981510916,0.2775920493432978
EX,1833,existential there,0.0023355703671802033,8.742009372663519,0.020417578040404515
FW,138,foreign word,0.00017583672158803495,12.473475986425235,0.0021932951242600936
IN,55319,"preposition or conjunction, subordinating",0.07048631595310512,3.826512986487323,0.2697168033642053
JJ,42616,"adjective or numeral, ordinal; adjective, comparative; adjective, superlative",0.0543004183130123,4.202892877642255,0.22821884138075446
LS,3,list item marker,3.822537425826846e-06,17.997037942482248,6.879435108916418e-05
MD,11949,modal auxiliary,0.01522516656706833,6.037398178118063,0.09192039289356238
NN,185204,"noun, common, singular or mass; noun, proper, singular; noun, proper, plural; noun, common, plural",0.23598307380427844,2.0832447107848315,0.4916104903375096
PD,527,pre-determiner,0.0006714924078035828,10.54034129156619,0.007077759152945306
PO,4730,genitive marker,0.006026867341386995,7.3743759749766475,0.04444438572669564
PR,101619,"pronoun, personal; pronoun, possessive",0.12948081022503277,2.949189796547846,0.38186348436441464
RB,50401,"adverb; adverb, comparative; adverb, superlative",0.06421990293303297,3.9608357053111325,0.2543644845287721
RP,5925,particle,0.007549511416008022,7.049401004530421,0.053219533359720836
SY,22,symbol,2.803194112273021e-05,15.122568824566107,0.0004239149589146725
TO,18105,"""to"" as preposition or infinitive marker",0.02306901336486502,5.437899886839865,0.12544698516630684
UH,7582,interjection,0.009660826254206384,6.693637702032761,0.06466607084794379
VB,154400,"verb, base form; verb, past tense; verb, present participle or gerund; verb, past participle; verb, present tense, not 3rd person singular; verb, present tense, 3rd person singular",0.19673325951588838,2.3456872161606,0.4614746918400251
WD,1622,WH-determiner,0.002066718568230382,8.918442338986132,0.01843191038167464
WP,7999,"WH-pronoun; WH-pronoun, possessive",0.010192158956396316,6.616396506693423,0.06743536491476466
WR,5325,Wh-adverb,0.0067850039308426525,7.203434633202842,0.04887533230184938
