season,episode,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39
1,1,4.251700680276419e-05,4.2517006802764196e-05,4.2517006802764196e-05,4.2517006802764196e-05,4.2517006802764196e-05,4.2517006802764196e-05,4.2517006802764196e-05,4.2517006802764196e-05,4.2517006802764196e-05,4.251700680276419e-05,4.2517006802764196e-05,4.2517006802764196e-05,4.251700680276419e-05,4.251700680276419e-05,4.2517006802764196e-05,4.2517006802764196e-05,4.2517006802764196e-05,4.2517006802764196e-05,4.251700680276419e-05,4.2517006802764196e-05,4.2517006802764196e-05,4.2517006802764196e-05,4.251700680276419e-05,4.251700680276419e-05,0.1554433256605734,4.251700680276419e-05,4.251700680276419e-05,4.2517006802764196e-05,4.251700680276419e-05,4.2517006802764196e-05,4.251700680276419e-05,4.2517006802764196e-05,0.829830532447403,4.251700680276419e-05,4.2517006802764196e-05,4.251700680276419e-05,0.013153012640321428,4.251700680276419e-05,4.251700680276419e-05,4.251700680276419e-05
1,2,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,0.9985787172011659,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805684e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05,3.644314868805683e-05
1,3,4.1528239202670115e-05,4.152823920267012e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.152823920267012e-05,4.1528239202670115e-05,0.9983803986710961,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.152823920267012e-05,4.152823920267012e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05,4.1528239202670115e-05
1,4,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526054224e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,0.011649600930282462,3.7147102526040495e-05,3.7147102526040495e-05,0.08030189171319431,0.9066740645630597,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05,3.7147102526040495e-05
1,5,3.692762186117636e-05,3.692762186117636e-05,3.692762186117635e-05,3.692762186117636e-05,3.692762186117636e-05,3.692762186117636e-05,0.17428455869132775,3.692762186117635e-05,3.692762186117635e-05,3.692762186117635e-05,3.692762186117635e-05,3.692762186117636e-05,3.692762186117635e-05,3.692762186117636e-05,3.692762186117635e-05,3.692762186117635e-05,3.692762186117636e-05,3.692762186117636e-05,3.692762186117636e-05,3.692762186117636e-05,3.692762186117635e-05,3.692762186117636e-05,3.692762186117635e-05,3.692762186117635e-05,0.8243121916779474,3.692762186117635e-05,3.692762186117635e-05,3.692762186117636e-05,3.692762186117635e-05,3.692762186117635e-05,3.692762186117635e-05,3.692762186117635e-05,3.692762186117636e-05,3.692762186117635e-05,3.692762186117636e-05,3.692762186117635e-05,3.692762186117636e-05,3.692762186117635e-05,3.692762186117635e-05,3.692762186117635e-05
1,6,3.8109756097591476e-05,3.810975609759148e-05,3.8109756097591476e-05,3.8109756097591476e-05,3.8109756097591476e-05,3.810975609759148e-05,0.4250166052443877,3.8109756097591476e-05,3.8109756097591476e-05,3.8109756097591476e-05,3.8109756097591476e-05,3.810975609759148e-05,3.8109756097591476e-05,3.8109756097591476e-05,3.8109756097591476e-05,3.810975609759148e-05,3.810975609759148e-05,3.810975609759148e-05,3.8109756097591476e-05,3.810975609759148e-05,3.810975609759148e-05,3.810975609759148e-05,3.8109756097591476e-05,3.8109756097591476e-05,3.810975609759148e-05,3.8109756097591476e-05,3.8109756097591476e-05,3.810975609759148e-05,3.8109756097591476e-05,3.8109756097591476e-05,3.8109756097591476e-05,3.810975609759148e-05,0.5735352240239039,3.810975609759148e-05,3.810975609759148e-05,3.8109756097591476e-05,3.8109756097591476e-05,3.8109756097591476e-05,3.810975609759148e-05,3.8109756097591476e-05
2,1,3.649635036500063e-05,3.649635036500063e-05,3.649635036500063e-05,3.649635036500063e-05,3.649635036500063e-05,3.649635036500063e-05,3.649635036500063e-05,3.649635036500063e-05,3.649635036500063e-05,3.649635036500063e-05,3.649635036500063e-05,0.17112292812027682,3.649635036500063e-05,3.649635036500063e-05,3.649635036500063e-05,0.05667284961471313,3.649635036500063e-05,3.649635036500063e-05,3.649635036500063e-05,0.04671007265083249,3.649635036500063e-05,3.649635036500063e-05,3.649635036500063e-05,3.649635036500063e-05,3.649635036500063e-05,3.649635036500063e-05,3.649635036500063e-05,3.649635036500063e-05,0.4243590265103597,3.649635036500063e-05,3.649635036500063e-05,3.649635036500063e-05,0.29985775084104294,3.649635036500063e-05,3.649635036500063e-05,3.649635036500063e-05,3.649635036500063e-05,3.649635036500063e-05,3.649635036500063e-05,3.649635036500063e-05
2,2,4.194630872486354e-05,4.1946308724863546e-05,4.1946308724863546e-05,4.1946308724863546e-05,4.194630872486354e-05,4.1946308724863546e-05,4.1946308724863546e-05,4.1946308724863546e-05,4.194630872486354e-05,4.194630872486354e-05,4.194630872486354e-05,4.1946308724863546e-05,4.194630872486354e-05,4.194630872486354e-05,4.1946308724863546e-05,4.1946308724863546e-05,4.1946308724863546e-05,4.194630872486354e-05,4.194630872486354e-05,4.1946308724863546e-05,4.194630872486354e-05,4.1946308724863546e-05,4.194630872486354e-05,4.1946308724863546e-05,4.1946308724863546e-05,4.194630872486354e-05,4.194630872486354e-05,4.1946308724863546e-05,4.194630872486354e-05,0.03695828833668623,4.194630872486354e-05,4.1946308724863546e-05,0.9614477519317689,4.194630872486354e-05,4.1946308724863546e-05,4.194630872486354e-05,4.194630872486354e-05,4.194630872486354e-05,4.194630872486354e-05,4.194630872486354e-05
2,3,3.566333808847873e-05,3.5663338088478736e-05,3.5663338088478736e-05,3.5663338088478736e-05,3.5663338088478736e-05,3.5663338088478736e-05,3.5663338088478736e-05,3.566333808847873e-05,3.566333808847873e-05,3.566333808847873e-05,3.566333808847873e-05,0.16999427023724603,3.5663338088478736e-05,3.566333808847873e-05,3.5663338088478736e-05,3.5663338088478736e-05,0.4999311713489869,3.5663338088478736e-05,3.5663338088478736e-05,3.5663338088478736e-05,3.5663338088478736e-05,3.5663338088478736e-05,3.566333808847873e-05,3.566333808847873e-05,3.5663338088478736e-05,3.566333808847873e-05,3.566333808847873e-05,3.5663338088478736e-05,3.566333808847873e-05,3.5663338088478736e-05,3.566333808847873e-05,3.566333808847873e-05,0.3105207824918798,3.566333808847873e-05,0.01826989575070195,3.566333808847873e-05,3.5663338088478736e-05,3.566333808847873e-05,3.5663338088478736e-05,3.566333808847873e-05
2,4,3.793626707135078e-05,3.7936267071350784e-05,3.793626707135078e-05,3.7936267071350784e-05,3.793626707135078e-05,3.7936267071350784e-05,0.23257121320435917,3.793626707135078e-05,3.793626707135078e-05,3.793626707135078e-05,3.793626707135078e-05,3.7936267071350784e-05,3.793626707135078e-05,3.7936267071350784e-05,3.7936267071350784e-05,3.7936267071350784e-05,3.7936267071350784e-05,3.7936267071350784e-05,3.7936267071350784e-05,3.7936267071350784e-05,3.7936267071350784e-05,3.793626707135078e-05,3.793626707135078e-05,3.793626707135078e-05,3.7936267071350784e-05,3.793626707135078e-05,3.793626707135078e-05,3.7936267071350784e-05,3.793626707135078e-05,3.793626707135078e-05,3.793626707135078e-05,3.7936267071350784e-05,0.7659872086469294,3.7936267071350784e-05,3.7936267071350784e-05,3.793626707135078e-05,3.793626707135078e-05,3.793626707135078e-05,3.793626707135078e-05,3.793626707135078e-05
