topic_id,top_terms
T00,accent character game murder punch throat things article work
T01,time phone idea yeah office okay thank man way
T02,yeah people time party right hey night room guys
T03,phone yeah thing office day guy time people things
T04,ok movie yeah years office hey way money plane
T05,okay yeah right time kids man today hey phone
T06,yeah right time man okay thing office hey people
T07,spot spot spot scranton montage clip clip montage stuff company time
T08,okay right croak door chuckles gon wait yeah grunts
T09,aaaaaaaa printers pretend pretends pretty pretzel pretzels price prices
T10,women warehouse people pizza union men pizza bap background workplace
T11,yeah okay right baby paper office time man thing
T12,pie pies yeah work bus fail god time pies pies
T13,way idea right flag hat head people battle war
T14,phone time leads yeah man office sales way ok
T15,office people okay way time yeah car room head
T16,people okay way right ok idea yeah time money
T17,office okay manager job time yeah phone lice hand
T18,yeah way people ok team fun day wedding right
T19,right phone time okay way yeah man people party
T20,okay yeah baby time hospital ok thing people hey
T21,ok yeah time people thank right man copier hey
T22,aaaaaaaa printers pretend pretends pretty pretzel pretzels price prices
T23,boat shrute ok yeah family shrute shrute sail phone room
T24,okay yeah right time hey people day man phone
T25,aaaaaaaa printers pretend pretends pretty pretzel pretzels price prices
T26,aaaaaaaa printers pretend pretends pretty pretzel pretzels price prices
T27,office okay time people job right man car computer
T28,dundies award year ladies bathroom people ladies room dundies dundies video
T29,time yeah pizza way points lot party job company
T30,aaaaaaaa printers pretend pretends pretty pretzel pretzels price prices
T31,birthday yeah okay party um whoa time hey right
T32,yeah okay time people hey right thing office man
T33,ok office yeah birthday people time crowd room news
T34,women yeah phone man time okay guy lot people
T35,aaaaaaaa printers pretend pretends pretty pretzel pretzels price prices
T36,party pum pum pum gift room ok yeah committee hey
T37,aaaaaaaa printers pretend pretends pretty pretzel pretzels price prices
T38,phone pens woman time women room thing chuckles son
T39,speech right wedding joke clapping um bonuses speaking trip
