term_id,term_str,n
0,,115175
1,i,29075
2,you,24274
3,the,17719
4,to,16635
5,a,15259
6,it,13409
7,s,13223
8,and,11145
9,that,11059
10,is,8428
11,of,7544
12,t,7335
13,in,6874
14,what,6515
15,no,6023
16,we,5889
17,this,5879
18,on,5188
19,my,5021
20,me,5007
21,have,4873
22,just,4757
23,m,4447
24,know,4434
25,do,4398
26,so,4390
27,for,4359
28,oh,4312
29,not,4306
30,are,3941
31,don,3750
32,be,3599
33,was,3583
34,your,3467
35,he,3412
36,with,3394
37,can,3370
38,like,3367
39,re,3334
40,yeah,3223
41,all,3217
42,okay,2974
43,up,2879
44,michael,2860
45,but,2823
46,here,2718
47,right,2700
48,out,2681
49,get,2612
50,at,2595
51,well,2531
52,about,2531
53,there,2439
54,hey,2415
55,go,2403
56,think,2276
57,dwight,2265
58,good,2232
59,one,2169
60,they,2092
61,if,2059
62,jim,2059
63,really,2028
64,how,2003
65,going,1995
66,she,1857
67,want,1857
68,pam,1729
69,yes,1725
70,would,1714
71,did,1663
72,her,1658
73,uh,1621
74,now,1557
75,his,1556
76,gonna,1555
77,ok,1525
78,who,1496
79,from,1490
80,let,1487
81,an,1484
82,come,1475
83,ll,1458
84,got,1444
85,back,1430
86,as,1418
87,him,1418
88,will,1414
89,am,1390
90,why,1347
91,or,1317
92,see,1311
93,time,1307
94,some,1233
95,because,1231
96,say,1204
97,when,1160
98,could,1154
99,look,1134
100,need,1133
101,then,1122
102,great,1095
103,people,1069
104,um,1061
105,thank,1061
106,very,1043
107,andy,1039
108,guys,1027
109,take,1023
110,office,1015
111,should,998
112,ve,998
113,little,988
114,been,985
115,make,969
116,down,950
117,man,947
118,over,937
119,were,932
120,had,929
121,mean,926
122,our,921
123,sorry,919
124,has,915
125,tell,914
126,something,899
127,way,895
128,god,892
129,them,890
130,us,886
131,phone,870
132,into,860
133,more,845
134,day,845
135,thing,844
136,where,836
137,work,834
138,off,828
139,love,819
140,by,802
141,didn,779
142,two,779
143,doing,754
144,please,750
145,too,745
146,d,716
147,everyone,693
148,much,683
149,said,682
150,call,681
151,maybe,673
152,never,664
153,new,663
154,lot,650
155,give,645
156,sure,639
157,kevin,633
158,talk,626
159,wait,624
160,ryan,620
161,guy,617
162,alright,615
163,stop,613
164,any,613
165,even,613
166,nice,609
167,actually,606
168,put,580
169,these,580
170,angela,580
171,thought,575
172,today,561
173,big,557
174,does,555
175,wow,544
176,its,544
177,room,542
178,first,538
179,around,533
180,laughs,532
181,only,529
182,ever,527
183,anything,524
184,paper,520
185,oscar,517
186,things,516
187,job,512
188,other,510
189,everybody,509
190,hi,505
191,looks,501
192,three,497
193,thanks,495
194,away,494
195,feel,493
196,those,492
197,party,488
198,fine,483
199,phyllis,482
200,than,477
201,erin,476
202,still,476
203,stanley,473
204,talking,468
205,kind,458
206,car,456
207,last,455
208,head,454
209,better,452
210,jan,446
211,which,444
212,best,443
213,toby,439
214,hello,436
215,im,431
216,their,425
217,doesn,422
218,again,420
219,cool,413
220,fun,408
221,cause,407
222,made,394
223,desk,394
224,ah,391
225,baby,389
226,life,389
227,darryl,387
228,help,383
229,wanted,381
230,hand,380
231,company,379
232,business,378
233,name,378
234,someone,377
235,old,376
236,long,375
237,idea,375
238,keep,373
239,after,373
240,always,372
241,place,371
242,guess,369
243,nothing,367
244,next,367
245,night,366
246,bad,364
247,five,363
248,find,362
249,year,361
250,kelly,357
251,getting,353
252,pretty,353
253,real,352
254,every,352
255,years,351
256,huh,351
257,everything,348
258,dunder,348
259,door,343
260,done,342
261,mifflin,341
262,hmm,340
263,before,338
264,being,336
265,might,335
266,through,333
267,home,331
268,told,331
269,meredith,330
270,looking,329
271,leave,327
272,second,326
273,listen,323
274,wanna,322
275,hands,317
276,coming,316
277,show,316
278,walks,315
279,whoa,313
280,face,312
281,gets,311
282,another,310
283,trying,309
284,else,308
285,hear,308
286,dont,308
287,try,308
288,together,304
289,own,300
290,manager,300
291,scott,300
292,stuff,299
293,also,299
294,money,298
295,makes,298
296,ask,293
297,whole,291
298,saying,287
299,probably,287
300,happy,285
301,wrong,283
302,having,283
303,believe,281
304,boss,279
305,use,278
306,same,276
307,scranton,273
308,hot,272
309,went,270
310,both,268
311,friends,266
312,anyone,262
313,called,261
314,gotta,261
315,check,260
316,thinking,260
317,friend,260
318,sales,259
319,care,259
320,start,259
321,hard,259
322,camera,256
323,play,252
324,person,249
325,goes,248
326,meeting,247
327,hold,245
328,many,244
329,remember,240
330,most,239
331,making,239
332,david,238
333,sounds,237
334,already,236
335,takes,236
336,part,236
337,tonight,235
338,understand,234
339,morning,234
340,wasn,233
341,watch,233
342,woman,233
343,left,232
344,may,231
345,enough,231
346,question,231
347,stay,231
348,point,230
349,girl,230
350,voice,229
351,meet,229
352,mr,228
353,mm,228
354,funny,227
355,while,227
