term_str,term_rank,n,p,i,n_chars,max_pos_group,max_pos,n_pos_group,n_pos,stop,porter_stem,df,idf,dfidf,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
good,59,2205,0.0028095435288121554,8.475448532227936,4,JJ,JJ,5,8,0,good,1986,4.914835224284232,9760.862755428485,0,1,0,0,1,0,1,0,1,1,1
god,131,889,0.0011327365973306152,9.78597186384305,3,NN,NNP,6,10,0,god,824,6.183984604629387,5095.603314214615,0,1,0,1,1,0,1,0,0,1,1
love,141,814,0.0010371738922689772,9.913126488406574,4,VB,VBP,6,8,0,love,728,6.362690491613909,4632.038677894926,0,0,0,0,1,0,1,0,0,0,1
wait,162,621,0.0007912591979103621,10.30356201445234,4,NN,NN,8,11,0,wait,516,6.859257876389352,3539.3770642169056,0,1,0,0,0,1,0,0,0,0,-1
kind,206,457,0.0005822954161755806,10.745961117614751,4,NN,NN,2,3,0,kind,437,7.098995662312007,3102.261104430347,0,0,0,0,1,0,1,0,0,1,1
fun,220,406,0.0005173127767336668,10.916675555487643,3,NN,NN,6,9,0,fun,380,7.300629523481658,2774.23921892303,0,1,0,0,1,0,1,0,0,0,1
baby,225,386,0.00049182938871723,10.98955443540474,4,NN,NN,6,8,0,babi,332,7.495445700465681,2488.487972554606,0,0,0,0,1,0,1,0,0,0,1
bad,244,362,0.00046124932309750584,11.082165585589614,3,JJ,JJ,2,3,0,bad,338,7.469605695530421,2524.7267250892824,1,0,1,1,0,1,0,1,0,0,-1
pretty,250,353,0.0004497817984901093,11.11848709940164,6,RB,RB,4,6,0,pretti,345,7.440032580147074,2566.8112401507406,0,1,0,0,1,0,1,0,0,1,1
real,253,351,0.0004472334596884656,11.126684252368259,4,JJ,JJ,4,4,0,real,330,7.50416291756679,2476.3737627970404,0,0,0,0,0,0,1,0,0,1,1
leave,265,327,0.00041665339406874146,11.228864647174738,5,VB,VB,4,6,0,leav,318,7.55760217652825,2403.3174921359837,0,0,0,0,0,1,0,1,1,0,-1
wan,267,321,0.0004090083776638104,11.255581985550517,3,VB,VBP,6,10,0,wan,306,7.6130972891199535,2329.607770470706,0,0,0,1,0,1,0,1,0,0,-1
money,294,291,0.0003707832956391552,11.397136129764537,5,NN,NN,1,2,0,money,273,7.777727990892753,2123.3197415137215,1,1,0,0,1,0,1,0,1,1,1
