term_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
,-0.21599367,-0.19918968,-0.23303656,0.17922115,-0.47452015,-0.39516005,-0.008992193,0.6194321,-0.2551485,-0.014261752,-0.103542246,-0.1610552,-0.25032538,0.32526463,-0.21853088,-0.42176616,0.15858664,0.08265525,-0.50043076,-0.3672089,0.26769605,-0.067792125,0.3596852,-0.28341317,0.62288535,-0.100524925,-0.2723503,-0.28524965,-0.11900835,0.055447392,0.099094,-0.11721062,0.2957636,-0.37649497,0.037181996,-0.15623425,0.27911308,-0.39736506,0.19359693,-0.5717332,-0.37061694,0.04368072,-0.6826541,-0.52182025,0.1607229,-0.23924056,-0.21583255,0.27828044,0.36760497,0.034648135,-0.28969827,0.03530532,0.21217994,0.17171185,0.48289436,0.18630199,0.14642389,-0.49463743,-0.25675914,0.3007134,-0.00082197256,-0.07001864,-0.2516689,0.09668498,0.08727133,0.08418549,-0.07710369,0.36990404,0.23865499,0.25878224,0.44683832,0.15465975,-0.086115025,-0.5468679,-0.13883242,-0.18476178,-0.08522201,0.074798964,-0.104566336,-0.3943978,-0.026100695,0.012417726,0.11056885,0.35182464,-0.06435532,0.1748641,-0.06728611,-0.06503153,0.21425626,0.0051354836,0.26307923,-0.26092818,0.268961,-0.3098353,0.35386392,0.16224654,-0.2775555,-0.44772768,0.28897887,0.11113336,-0.29598075,0.22433278,0.2916588,0.14858472,0.039014176,-0.015718075,0.11260212,0.18909062,-0.026708297,-0.20832673,0.041362528,-0.4069101,-0.11217055,0.3470458,0.16493599,0.4221809,0.43183276,0.2768939,0.24055049,-0.024549568,0.1819212,-0.275955,0.38124105,-0.23535438,0.084913954,-0.062099095,0.21887217,0.04621324,0.1300232,0.48299634,0.18601853,-0.34526744,-0.34697306,0.111593924,0.062191814,0.19300753,0.5282696,0.3588186,0.4203552,0.14096986,0.2868821,0.017696025,-0.10949351,0.0070202122,-0.01254346,0.3974835,0.27712956,-0.11715532,-0.087730914,-0.004363656,0.103476875,0.00227965,0.0852314,-0.20019431,0.45458806,0.10649589,0.37622553,0.16015919,-0.33592454,0.08071618,-0.37145182,-0.3678401,0.02157993,-0.012654608,0.018394398,-0.34030437,0.26703826,-0.39847252,0.23488353,0.17864949,0.066997245,-0.21534795,0.062372755,0.09916981,0.14260584,-0.02256389,-0.44926876,0.049836848,0.021891562,-0.17897937,-0.05686358,0.099942416,0.36660275,-0.27462143,0.22497542,-0.0736427,0.14722572,-0.18483846,0.21357791,-0.12195821,-0.0837357,-0.05229804,0.3288952,-0.04364852,-0.0025827924,0.18247311,0.012178328,-0.1715313,-0.017768748,0.047895536
i,-0.44380385,0.62319523,-0.5135963,0.45870468,0.68624514,0.09112805,0.07951181,0.5184561,-0.84903413,0.71568346,-0.9808791,-0.30110934,0.377401,0.47805345,0.41199034,-0.45726544,-0.035411812,1.0703883,-0.7885761,-1.2661045,0.33412558,-0.15448014,-0.059385624,-0.3257607,0.45534074,-0.3184119,0.30105236,0.13783243,-0.58616686,0.37728563,0.91901815,-0.045799337,-0.36995882,-0.27232862,-0.42656723,0.2411733,0.13212474,0.29592082,0.006677149,0.12009438,0.0866917,-0.008605709,-0.24050279,-0.2607696,-0.038366098,0.15302499,0.10359916,-0.19668782,-0.09518791,-0.052049372,0.13192183,-0.15811546,-0.31662148,0.007990926,-0.343711,-0.3554743,-0.58348125,-0.8031623,0.044181705,-0.29387942,0.49440244,-0.6288319,0.2179337,0.15338837,-0.110239,0.3775127,0.43143526,0.13923281,-0.6247355,0.48086128,0.10944281,0.25348273,0.44897345,-0.31970727,-0.16969495,0.5502293,0.7042663,0.55593944,0.15705931,0.10447915,-0.16340406,-0.47900936,-0.720463,-0.38617274,-0.1557762,-0.15008931,-0.081061326,0.10821016,0.3948559,-0.23967019,-0.26271215,0.3526144,0.22690727,-0.42654836,0.52739185,-0.2088484,0.19774403,0.07605204,0.11608033,-0.3213684,0.1863107,0.14395767,-0.21431486,-0.33363667,0.76213944,0.3372595,-0.3130306,0.008520092,0.56683826,-0.100440666,-0.13678418,0.057052244,0.14768684,-0.6719728,0.07988947,0.4749864,0.6713797,-0.06356478,-0.36975265,0.20893529,-0.122205645,0.21591651,0.77295256,0.16921577,-0.13083455,-0.28953138,0.21243514,0.116800405,-0.33115095,-0.17328714,0.2574531,-0.089442015,-0.5847067,-0.6205808,0.34870344,0.5955335,0.032612953,-0.24822454,-0.51192397,0.5405904,0.17076501,0.44865155,0.73947525,-0.36096442,0.24845597,0.5281717,0.20396383,-0.1739923,-0.40254796,-0.07538002,0.34359848,0.013730523,-0.39686128,-0.29911286,-0.2918667,0.21005863,0.24507661,0.8685376,0.47884843,-0.28890628,-0.18858789,0.71873784,0.45453224,0.8878017,0.14491811,-0.0015862259,0.07000693,0.46574515,0.116901696,-0.5738077,0.05778587,-0.09696984,-0.37339476,0.48062027,-0.41002026,-0.59426194,0.21553245,0.2368075,-0.20035315,-5.9154703e-05,-0.4155553,-0.13898495,0.5529553,-0.121657796,-0.26737973,-0.09791301,0.29552028,0.7342519,-0.6446824,-0.78043896,0.036335535,-0.09256626,-0.15185289,-0.10888359,0.27567157,0.106626794,0.15247396,-0.3710976,-0.1420546,-0.4653983
you,-0.63877666,0.4482009,-0.74869806,0.4673278,0.10813625,-0.13049449,-0.12478904,0.0053824657,-0.40813774,0.6873316,-0.44954327,0.090635896,-0.13942552,0.38725945,0.3489248,-0.027354898,-0.35561043,0.10620647,0.39339238,-0.54998904,-0.004670507,-0.40896353,0.14899854,-0.09703711,-0.03831806,-0.33399096,-0.10138793,0.07408812,-0.812333,0.19887128,0.33471328,-0.15358327,-0.103861876,-0.8741937,0.2458292,-0.019077959,-0.18170573,0.118162096,-0.026405046,0.3525624,0.3321478,0.03355458,-0.8632683,-0.0823041,0.05996095,-0.2853513,0.3135649,-0.07887529,-0.036383342,-0.5176494,0.13186663,-0.09490667,0.20714709,0.04495398,-0.2615677,-0.4743341,-0.46355852,-0.5019807,0.16312177,-0.47614604,0.8891403,-0.46830764,-0.09063544,-0.046591133,-0.019586122,-0.10090245,0.69372684,0.197234,-0.47547552,0.6603111,-0.17129591,0.60388154,0.22259812,-0.22142464,0.61912704,0.43048647,0.07779082,0.67409927,0.05414458,-0.2854498,-0.62574536,-0.3229369,-0.004877911,0.23600526,-0.36509275,-0.482806,0.41724488,0.2241646,-0.08307359,0.017622758,0.2534939,-0.23684417,0.24867591,-0.5482764,0.10050264,-0.5562088,0.18017116,0.3559123,-0.17573853,-0.20259559,-0.35843658,0.09816293,0.23483561,-0.63612616,-0.04243032,0.011834503,-0.19283189,-0.2760889,-0.16893348,-0.5476364,-0.20865454,-0.13597013,-0.31688583,-0.4327142,-0.37810466,-0.1532086,-0.41243377,-0.17745912,-0.119222395,0.25093678,-0.7288183,0.039980046,0.6488277,0.47360075,-0.4616018,-0.4858823,0.45700672,-0.07840865,-0.3980682,0.2494342,0.90024847,-0.5895835,-0.42753932,-0.90575874,0.3084222,0.51764816,0.02665065,-0.27322453,0.060388986,0.025370695,0.2439822,-0.51613146,-0.21406005,-0.7043717,0.23154399,-0.008621558,0.13407485,0.36860946,-0.07783551,0.27941057,0.2484088,-0.19092251,0.323198,0.12548281,-0.5805614,0.19419314,0.54906243,0.14721999,-0.3633317,-0.28727305,-0.014543027,0.08306536,0.4560432,-0.09336531,0.17563199,-0.19922125,0.01876679,0.12931712,-0.11228628,-0.3079988,0.1489218,0.35656878,0.5066112,0.13671269,0.118305996,0.35626897,-0.10979508,-0.0018202659,0.19329263,0.2962775,0.0861079,-0.14939286,0.31362227,-0.49830186,-0.032520138,-0.9599464,-0.4274167,1.0576663,-0.3971334,0.38551703,0.3936626,0.22273609,-0.57508445,-0.11369802,0.6061852,-0.009563687,-0.15600677,-0.6316278,-0.027170755,-0.735521
the,-0.19198619,-0.019830214,0.25412774,-0.017205894,-0.19705804,0.14419632,0.551932,0.16475552,-0.14098419,-0.116437815,0.7472685,-0.11595383,-0.026608407,0.33818507,-0.83257174,0.1352458,0.3038173,0.15620096,0.21614401,-0.3382979,0.30839014,0.18322466,0.45255014,0.07039115,0.39738065,0.49656463,0.019237,-0.33267745,0.5521336,-0.11823304,-0.027941655,0.61092377,0.057424873,0.29175562,-0.3306023,0.70870435,-0.6053939,-0.11003424,0.098518506,-0.23391639,0.26966062,-0.3146084,0.6877445,-0.58168244,0.14740029,0.24474286,-0.13033478,-0.54706913,-0.16208196,-0.13610108,-0.42927346,-0.15931994,-0.64184093,-0.01718188,-0.19153865,-0.83362067,-0.11223919,-0.3188719,0.07055823,-0.33345902,-0.2843029,-0.33551836,0.19707431,0.09977796,-0.37257433,0.098310895,-0.06256918,0.39056534,0.40977836,-0.055416796,0.22844374,0.2263257,0.036634583,0.42900652,0.35378096,0.14006269,0.10595521,-0.22954647,-0.24623208,-0.03331717,0.33215052,-0.5455043,-0.20349713,0.43371695,0.3085523,-0.15826899,0.4616944,0.06497295,-0.3398048,0.19713105,-0.13188437,0.18323997,0.38339996,0.168743,0.38876978,0.50575346,0.08506291,-0.16493171,0.21849583,0.46556118,0.4739881,-0.07250317,0.09046966,0.36285853,-0.037082817,-0.24337757,0.5746543,-0.6441479,-0.18776552,0.16898543,0.061971303,-0.06430405,0.17940953,0.05271701,0.06585771,0.22162345,0.10420408,-0.26609382,-0.15195177,-0.6382213,0.07969194,0.5204207,0.05278585,-0.4353377,-0.049553823,0.4084506,-0.36104244,0.55392903,-0.72621256,0.69867,0.054322574,-0.117675066,0.25981146,0.23928572,-0.38885254,0.36353657,-0.7136761,-0.29616404,-0.15502077,-0.113436975,0.16021009,-0.32495385,0.12529808,0.66534466,0.32034793,0.005096203,-0.19723985,-0.23620172,0.49966788,0.25612563,-0.23387936,-0.023034168,0.23482826,0.058903027,0.056135446,0.14567247,0.08319281,0.3789697,-0.11950732,-0.05137614,0.50390285,-0.011627707,-0.21518172,0.42558736,-0.24007307,0.31618136,-0.43709007,0.41395873,-0.14007154,0.20152165,0.0399017,-0.20864205,-0.054350384,-0.42294344,-0.036347486,0.18158463,-0.14536864,-0.19548652,0.13369825,-0.008355246,-0.09716273,-0.3100073,-0.42023125,-0.09190494,0.47669816,-0.16985016,0.070303306,0.022412054,0.52944076,-0.13455245,-0.094064735,-0.18725754,-0.025256455,0.8013433,-0.19667384,-0.59486955,-0.30576518,0.15609287,0.0037804644,-0.051939998
to,-0.9723945,0.15003452,0.0060081035,0.6200929,0.68097883,-0.15324785,0.7684974,-0.32715166,-0.4819057,1.091228,-0.15677045,-0.09004359,0.4724566,0.26395386,0.7361313,0.19118883,-0.49016473,-0.35908735,-0.34843287,0.5540082,0.29870206,1.004352,0.47646305,-0.2849587,0.32435596,0.4293392,-0.1533808,-0.8715056,0.10133215,-0.2322137,0.5516836,-0.41842347,0.4618498,0.178857,0.071446285,0.63190466,-0.2852701,0.61394435,-0.024892133,-0.38257933,-0.41267902,0.6164029,0.031793363,-0.36773005,0.007549831,-0.08664451,0.2124096,-0.23719425,-0.4629439,-0.4569237,0.3500174,-0.23155212,-0.12831676,0.01607631,0.19489771,-0.15866548,0.21844809,-0.27624333,0.11222538,-0.7368747,-0.21417674,-0.22176935,0.4276964,-0.125012,-0.7852964,-0.48944739,-0.004959246,0.3073499,-0.32926956,0.15773404,-0.85066813,-0.13531356,0.26352078,0.5085199,-0.54607964,-0.18549044,-0.18413523,-0.59440356,-0.8229081,0.36083683,0.023908487,0.052454356,0.682139,-0.42167392,-0.18707964,-0.14881957,-0.48950645,-0.048725862,-0.3279184,0.29867676,0.035705958,-0.10762823,0.13796856,-0.0795941,0.15314709,0.6076235,-0.09475275,0.8129578,0.1468229,-0.23589018,-0.6700028,-0.5795322,-0.25085413,0.23907971,0.053503945,-0.4943649,-0.31024668,-0.14663188,-0.49160025,-0.5128104,-0.055454608,-0.049277265,0.1471662,-0.20919897,-0.31769642,0.44927794,0.14166796,-0.96570396,0.26396355,-0.47552094,-0.29239595,0.06116486,-0.076643206,-0.5521216,0.2819092,-0.35025832,-0.318887,0.22738424,-0.35690296,-0.43796122,0.64358866,0.4753972,0.12861879,0.529325,-0.5980358,0.38655818,0.2816054,0.074395746,-0.1277398,-0.21743944,0.2449895,-0.052139405,-0.43881926,-0.89529586,-0.084530346,-0.21206525,0.27834085,0.5365189,0.6900227,0.76002985,0.55470586,0.30629224,0.009942726,0.4639301,0.08393261,-0.68829095,-0.3042733,-0.49094266,0.5109941,0.048024192,0.2752855,0.953105,0.40691543,0.15058434,-0.28272587,-0.5116691,-0.856107,-0.50788367,-0.102539286,-0.2460316,0.10250365,0.34724122,-0.3435804,-0.39468116,0.20477222,-0.37351754,0.30974847,-0.020229625,0.41376266,0.37126073,0.201289,-0.42909527,-0.27978727,0.67065656,-0.02851913,-1.1031841,-0.45380604,0.28447834,0.23164068,0.30623147,-0.19236894,1.0771334,0.11500696,0.3697253,0.98255,-0.24647062,-0.2679315,0.5353895,0.29966462,-0.056550384
a,0.28475526,0.1724803,0.20849107,-0.30493584,-0.51805645,-0.35740218,-0.694366,0.24334489,-0.6685603,-0.80457294,0.23320766,-0.3046465,0.6963446,-0.098357596,0.21576254,0.41942945,0.38472912,0.045749474,0.052990597,-0.6703152,-0.004514342,-0.3442027,0.56577986,-0.65320075,-0.4617198,-0.15597713,0.05973935,-0.21254958,0.8692887,0.0430598,-0.09272315,0.19098711,-0.0025342254,0.4911882,0.30402896,-0.13908231,-0.0916826,-0.4568174,-0.3246635,0.15998618,-0.1335816,0.009112932,-0.16277361,0.6396723,-0.17033571,-0.50197405,0.012655233,-0.42512968,-0.23549567,0.08352622,-0.3098224,-0.5153907,-0.51714015,-0.31331286,0.20119937,-0.33219552,-0.18720905,0.207162,0.64647067,0.49748057,-0.27596894,-0.39794555,0.084958136,0.14905542,-0.64834636,0.839706,-0.46170875,-0.28887784,-0.123049825,0.21968599,0.6971092,0.4385229,-0.28003275,0.34582296,0.13563555,0.14349283,0.32845706,-0.5855065,-0.31945503,0.9080116,0.12658481,0.2622518,0.38257584,0.46925,0.100284636,0.013569168,-0.6340077,-0.36474696,0.80073035,0.35939106,0.12106566,-0.38741267,0.3003607,0.3172129,0.14043978,0.127822,0.6848916,-0.5411214,0.5313838,0.3430553,0.41169444,0.40383375,0.19011898,0.017082352,-0.04572917,-0.24535409,-0.13837261,0.62718314,-0.35666406,0.2248537,0.2731836,0.33477217,-0.47809014,-0.18105322,0.46367705,-0.29614615,0.45726535,-0.18201143,0.14300632,-0.42156267,-0.62932605,-0.025286285,-0.21962799,-0.4153817,-0.7311931,-0.33459646,-0.51019824,0.03835715,-0.17592645,0.2628514,-0.18095548,-0.44139013,0.46318656,0.51398665,-0.08544171,0.15780115,-0.48543984,0.15618947,-0.512099,-0.5449041,-0.14602484,0.31577656,0.2624869,0.6860742,0.092693835,-0.07661962,-0.2545153,-0.21522386,-0.40699703,0.37555557,-0.53020304,-0.07577923,0.040341914,0.55936414,-0.38971105,0.15239772,0.10321637,0.3800759,0.112169996,-0.0052875383,0.032827646,0.38169602,-0.42507878,-0.3471654,-0.024670433,-0.09736381,0.32773584,0.2237085,-0.46868393,-0.35664824,-0.7108287,0.5607293,0.18162486,-0.3581083,-0.013751527,0.27900767,0.11736224,0.26443455,-0.0978988,-0.4703823,0.1862891,0.6947477,0.045152165,0.3941817,0.50651354,-0.042053394,0.21825819,-0.19427302,0.5405646,0.18257542,0.29656807,-0.24899423,-0.74925447,0.6869617,0.90457493,-0.5850612,-0.6493422,-0.042087562,-0.44717428,0.1876828
it,0.039664708,-0.39196467,-0.21129932,-0.016122913,0.48396719,0.32469094,0.38530475,0.24455847,-0.4209687,-0.12783423,-0.31952587,-0.25368583,-0.08308515,-0.23252769,-0.23648664,-0.4333732,0.63378245,0.25243452,0.47064075,0.02520756,-0.0049595865,-0.24489199,0.1785571,0.2709899,0.06664204,0.09618487,-0.33679575,0.62318116,-0.13285714,0.0267882,0.41812956,0.6823961,-0.20312014,-0.1527985,0.19151874,0.022985598,-0.089041,-0.43396178,0.48539641,-0.36292592,0.11462098,0.11331475,-0.40301594,0.32988334,-0.77434087,-0.34898004,0.79262495,0.3090461,-0.2234593,-0.16858877,0.13099372,-0.5974007,0.24855386,-0.1622356,0.18665147,-0.013456925,-0.43991235,-0.051009435,-0.003529037,-0.266272,-0.54042363,-0.29171416,0.5930475,0.41713646,-0.255088,0.4474498,0.57563215,0.22351,-0.4636187,0.36035278,0.16808003,0.3556669,0.35493746,-0.090448156,-0.0545434,-0.012014962,0.072082184,-0.33777443,-0.2751841,0.23961043,-0.21234852,0.47970775,0.18915094,0.78778696,-0.46099228,-0.19410694,0.21920092,0.31625786,0.021143543,0.2563859,0.8356769,0.13755131,0.51880085,-0.4509238,0.16509548,-0.28717628,0.26229915,0.41941246,0.8662291,0.08427923,-0.36974284,0.19178079,-0.32449338,-0.10779464,-0.0761129,0.07934381,-0.11591932,-0.5439386,0.044348598,-0.13377257,-0.32275814,-0.052739825,-0.4585033,-0.32673302,0.18470149,0.46369475,0.41506475,-0.16439441,0.090841405,-0.053018633,0.16196062,0.27141938,0.3867766,0.17086837,0.23337877,0.11251296,-0.25130454,-0.4933282,0.25831908,0.40287316,-0.016815197,0.29784733,-0.15405652,-0.25401434,-0.42289832,-0.048205495,-0.32676992,0.6693368,0.11313717,0.1286681,-0.023337156,-0.20557669,0.3545105,0.11299214,0.335347,-0.017260835,-0.038364615,-0.27320567,0.8504506,0.23223427,0.28610837,-0.26427478,-0.53555834,0.09696315,0.042509537,0.66378605,0.36606175,0.28006434,0.24288687,0.30465677,0.40275663,0.023589768,0.44073534,0.41596806,0.28096473,0.22877425,-0.06867945,0.22157007,0.19429937,0.012181654,0.122464016,-0.069370806,-0.48946026,0.059110172,-0.2738857,-0.17943725,0.013141261,0.16951159,-0.24465612,-0.34405714,0.08942208,-0.15599295,0.27504995,0.30600768,-0.13760695,0.04438967,0.26036415,0.49476117,-0.3777175,-0.39092255,0.09721718,-0.0140732685,-0.11312818,0.012729349,-0.35208586,-0.0006399095,0.43552446,0.20205235,-0.117490515,0.40263724
s,0.42697734,0.0413059,-0.3945663,0.12295573,0.67046916,-0.47855157,0.14028724,0.40418154,0.932737,-0.81584996,0.5026608,-0.27514374,-0.70711887,-0.20039147,-0.35430562,0.40736946,0.34133834,-0.31883088,0.15137936,-0.25098208,0.32999626,0.6397745,0.2629515,0.15925442,-0.61305195,0.4919919,-0.09702011,0.27879408,0.2919827,-0.18793194,-0.27521962,-0.27411926,0.42924437,-0.7843809,-0.21965292,-0.49319968,0.39374772,0.36025578,0.06332746,0.4701525,0.5961524,-0.29146647,-0.28560096,0.24093512,0.20038658,0.067570865,0.18170471,-0.15840839,0.15911168,0.597148,0.16812877,0.033655934,0.044664793,-0.3459246,0.18983859,-0.43635482,0.22111893,-0.19258356,-0.2014913,0.11095972,-0.53870976,-0.036429822,-0.014875026,0.2998828,-0.15121645,0.5600136,-0.2957937,0.35939863,-0.30333734,-0.10533159,-0.17526121,-0.516698,0.96285146,0.09774371,0.43949294,-0.13860475,0.54519576,-0.08245177,-0.40259302,-0.21113244,-0.21641555,-0.16796343,-0.23187637,-0.3850386,0.31890482,-0.19892457,0.6754682,0.18929054,-0.4008184,-0.3764146,0.42151695,0.044508226,0.7277706,0.6281262,0.41090244,-0.35309637,0.09774712,0.82128483,-0.070103236,0.3774744,-0.25387904,0.4091944,0.3279885,0.38556725,-0.2480263,-0.51313424,-0.5408538,0.5124036,0.30776075,0.35621768,-0.02041476,-0.37233034,-0.042753056,0.5196711,-0.07302523,0.07437407,-0.46521443,0.46698818,0.16035533,0.25192493,-0.27308086,-0.045657936,0.039098103,-0.37472814,-0.031005044,-0.014010524,0.0782845,0.107307866,0.16111961,-0.24690245,-0.27786317,-1.079154,0.3103342,0.078406766,-0.055178445,0.41823262,0.4047572,0.020574838,-0.3312411,0.37906608,0.41209882,-0.12787506,-0.14345166,0.36565813,0.30919644,0.52540296,0.19436261,-0.7094681,-0.40819478,-0.4039683,-0.27467564,0.05034118,0.56503654,0.4624497,-0.13613358,0.41729,0.5510624,-0.24651758,0.6705099,0.6108272,0.23101066,-0.122065544,-0.14991242,0.2657688,0.65605044,-0.12291934,0.2652223,0.23707795,0.09873215,0.5679115,-0.49265108,-0.39008656,0.12908457,-0.32138187,0.2806087,0.41516435,-0.33292535,0.26911283,0.09279464,0.3192986,-0.695876,-0.19600654,-0.0395418,-0.38016632,-0.18222839,0.47301352,-0.22431341,-0.06268393,0.47523722,0.51173323,-0.014878333,-0.14146739,-0.4106537,-0.5774128,-0.49955338,0.27167666,0.5004311,0.54101753,0.23966902,0.36422533
and,-0.40549818,-0.14553744,0.3573419,0.31609616,0.28198552,-0.015553658,0.23927297,0.008921129,-0.42871022,0.40551552,-0.35757768,-0.33229092,-0.0721704,-0.05410034,0.011459921,0.11345957,0.056336515,-0.14662445,-0.02925567,-0.018252643,0.14900446,0.017113963,0.12957221,0.033640727,-0.184659,0.171163,0.108445816,-0.33675227,-0.31803772,0.07378997,-0.15054171,-0.11878905,-0.049650066,0.33488694,-0.061554432,0.071095064,0.0856755,-0.1935638,-0.26995683,-0.3040156,-0.44248924,-0.07603254,-0.1352121,0.44283703,0.4476687,0.012834622,-0.14386421,-0.09572093,-0.10725498,0.087838225,-0.17393805,-0.031414203,-0.0193347,0.19440353,0.18064067,-0.20903745,-0.016684202,-0.24179786,-0.10678704,-0.26679504,-0.2208062,0.24508178,-0.19576605,0.0934447,0.16881756,-0.16398901,-0.0052824807,0.23781504,0.09155896,0.03455304,0.36424825,-0.034519814,0.21497086,-0.014282443,-0.1632048,-0.030797265,0.14819631,-0.07375212,0.5248127,-0.41597998,-0.349491,-0.57456654,0.08211527,0.0457628,-0.11956368,-0.07711126,-0.38732633,0.03896627,-0.022628173,-0.25312617,0.39464122,0.27395165,0.098836966,0.022012526,0.12560517,0.16933268,-0.013697555,0.048048716,-0.13180529,0.27406394,-0.04301086,0.21906282,0.083727926,-0.08121519,0.1157934,-0.4647632,0.25266632,0.06657682,0.09419028,-0.24641025,0.057610206,-0.40436098,0.018621048,-0.32844302,0.2277326,-0.23167045,0.12341874,-0.29781255,0.45656392,-0.7213466,-0.03251437,-0.04927968,0.08091661,-0.14184667,-0.010817171,0.087259926,-0.13220952,-0.08169002,-0.1891348,-0.33391386,0.14974909,0.13221851,-0.2825635,0.11095054,-0.19538777,0.036971062,-0.16916059,-0.22855397,0.09078426,-0.24208613,0.16651861,-0.26194343,-0.032446653,0.09009075,0.1058713,-0.1266832,-0.11441859,-0.13760582,0.13905053,-0.059756123,0.06852999,0.099449016,0.13082244,0.14499214,0.033265453,-0.01348049,0.2391524,0.2997751,0.062373787,0.37114272,-0.16042776,-0.26750177,-0.32059404,-0.17322814,0.16488951,-0.019873923,0.10487131,-0.12502518,0.23444907,-0.23181309,-0.08001088,-0.002448495,0.057932027,0.13439396,0.42182198,0.043850277,0.016458876,-0.17828432,-0.042797048,0.33784306,0.13546659,0.17212911,0.16012864,-0.014869484,0.28393543,-0.4090448,0.042940203,-0.04485273,0.2170995,-0.42281452,-0.15321088,0.20831637,0.118669316,-0.094100304,0.32598957,-0.15415315,-0.14302357,-0.048144836,0.2567101,-0.15824205
that,-0.20197195,-0.25208265,-0.30685934,0.17662334,0.038734283,0.073499925,0.36633942,0.54240406,-0.22199218,-0.031591717,-0.36807385,-0.045526028,0.244676,0.09948166,-0.2364934,-0.1643852,0.49395996,0.27100354,0.5469416,0.09617841,0.09843721,-0.20955688,-0.0512088,0.17838123,0.39196435,-0.15271302,-0.14184798,0.40163696,-0.12688076,0.010365075,0.27264205,0.14207295,0.07018671,-0.0685284,-0.034229897,0.052662198,0.23689608,-0.058761436,0.26608282,-0.18388683,-0.13903996,-0.108962975,0.031789076,0.22998151,-0.58081573,-0.28646377,0.30771402,-0.0403967,-0.01807923,-0.2890109,0.14549898,-0.23952472,0.107647926,0.11266579,0.29748812,0.10757587,-0.17741214,-0.40188786,0.04806331,-0.10332904,-0.41717792,-0.2416272,0.40292937,0.32192564,-0.37876996,0.46166176,0.63969463,0.3016406,-0.45952567,0.17846759,0.015977493,0.17592166,0.3087115,0.13812813,0.08061893,0.22177975,-0.22619039,0.40920815,-0.2695903,-0.013006188,-0.34649575,0.06738373,0.2773586,0.31042287,-0.20939983,-0.06277864,0.09773171,0.22161686,0.016741982,0.0064526447,0.4335232,-0.18501784,-0.0777317,-0.13922392,0.19322725,-0.25707093,0.5082863,0.5129887,0.5963881,-0.024164898,0.054145634,0.039165076,-0.061710946,-0.116754316,-0.07412565,-0.20965791,0.069152765,-0.43836194,0.08267753,0.062446002,-0.13991208,0.24930748,-0.020183632,-0.32648376,0.039242722,0.309441,0.17846096,-0.12802854,-0.065844946,-0.26386034,0.12825923,0.16981469,0.41795778,0.14867814,-0.17784701,0.3855551,-0.48283237,-0.5726607,0.057592407,0.6418513,-0.08653316,0.04513121,-0.23199208,-0.27712953,-0.4764163,0.30620137,-0.37622815,0.3066704,0.10464236,-0.19309431,-0.04023832,-0.15600154,0.3890331,0.36726037,0.0744547,0.055623826,-0.23624682,-0.39273983,0.3149404,0.28620186,-0.009279138,-0.014710607,0.11852053,-0.21590514,-0.01811545,0.17590767,0.3700356,0.62202203,0.26941213,-0.0027595542,0.37662554,-0.19402856,0.44994766,0.12502693,-0.11606096,0.0060421047,-0.14432542,-0.029533843,0.096091956,0.061254553,0.06303886,-0.114475586,-0.3361574,-0.2681238,0.13461526,0.059036657,-0.14039798,0.30645934,-0.30965534,-0.12371043,0.0017851864,-0.27377596,0.045968905,-0.22015154,0.0880597,-0.2642984,0.035335828,0.062348574,0.12976392,-0.42842793,-0.013498695,0.297889,0.0026401568,0.20219702,-0.44759193,-0.23104383,-0.0363833,0.26007253,-0.30978224,0.30836082
